"otherReason","instanceType","uuid:ID","id"
"","StudyAmendmentReason","f86d1ed2-75b7-4201-b21e-36116674e461","StudyAmendmentReason_1"
"Fix typographical errors","StudyAmendmentReason","dc5fef33-db03-43cd-908e-2b6efcdb9bd4","StudyAmendmentReason_2"
