"name","uuid:ID","label","description","id","parameterMap","instanceType"
"IE_Dict","4cf4efa2-58c0-4c71-9b99-88f50ce05662","IE Dictionary","Dictionary for IE","SyntaxTemplateDictionary_1","{'min_age': '<usdm:ref klass=""Range"" id=""Range_3"" attribute=""minValue""></usdm:ref>', 'max_age': '<usdm:ref klass=""Range"" id=""Range_3"" attribute=""maxValue""></usdm:ref>', 'StudyPopulation': '<usdm:ref klass=""StudyDesignPopulation"" id=""StudyDesignPopulation_1"" attribute=""description""></usdm:ref>'}","SyntaxTemplateDictionary"
"AS_Dict","110a88d4-3786-46fb-806b-5bbb84bc9fbd","Assessment Dictionary","Dictionary for Study Assessments","SyntaxTemplateDictionary_2","{'Activity1': '<usdm:ref klass=""Activity"" id=""Activity_6"" attribute=""label""></usdm:ref>', 'Activity2': '<usdm:ref klass=""Activity"" id=""Activity_5"" attribute=""label""></usdm:ref>'}","SyntaxTemplateDictionary"
