"otherReason","instanceType","id","uuid:ID"
"","StudyAmendmentReason","StudyAmendmentReason_1","eaeeddd6-de98-48a4-8dc6-98d112fb4c04"
"Fix typographical errors","StudyAmendmentReason","StudyAmendmentReason_2","81a708d8-ad07-49ce-be9c-893213c3b90f"
