"codeSystem","uuid:ID","codeSystemVersion","id","decode","code"
"http://www.cdisc.org","1e022426-ac87-40b1-b7cf-320dd6f37629","2023-09-29","Code_1","Interventional Study","C98388"
"http://www.cdisc.org","c95e6968-95d9-4323-aea5-3f6316e58449","2023-09-29","Code_2","Phase III Trial","C15602"
"http://www.cdisc.org","55864517-63dd-4762-a0bc-25b7a94a4e24","2023-09-29","Code_6","Sponsor Approval Date","C132352"
"http://www.cdisc.org","3676fc01-3743-443a-9a62-74c8de73f269","2023-09-29","Code_7","Global","C68846"
"SPONSOR","0a656073-4568-4f25-b0a3-c31f4fa87d3a","12","Code_3","Vacines Group","VAC"
"SPONSOR","d9ec13bb-db25-42c7-92ce-e85df8c9e453","12","Code_4","Regulatory","REG"
"http://www.cdisc.org","da468c5d-5618-4f16-b076-eb165950122b","2023-09-29","Code_10","Study Registry","C93453"
"ISO 3166 1 alpha3","2ec65747-ce5b-4147-9f34-194a75cb4c5b","2020-08","Code_11","United Kingdom of Great Britain and Northern Ireland","GBR"
"http://www.cdisc.org","333a84e4-d793-4529-8431-ac2a464c1578","2023-09-29","Code_12","Clinical Study Sponsor","C70793"
"ISO 3166 1 alpha3","19e22311-9482-4d03-a304-ddfa25bec60b","2020-08","Code_13","France","FRA"
"http://www.cdisc.org","e26a0cf2-e11f-4f4f-89eb-f5d7b07ed307","2023-09-29","Code_42","Basic Research","C15714"
"http://www.cdisc.org","f0ba7cc7-83b5-4fa0-9aab-5ad3bff23751","2023-09-29","Code_43","Device Feasibility Study","C139174"
"http://www.cdisc.org","aca8c247-bac2-4a05-9ff3-759f351896a4","2023-09-29","Code_44","Efficacy Study","C49666"
"SPONSOR","96ca8ddd-4c0f-439e-a9e6-7604fce1279e","12","Code_39","Type 2 diabetes","T2_DIABETES"
"SNOMED","66264b68-00db-4e51-80bf-ffa430ba75bc","January 31, 2018","Code_40","Diabetes mellitus (disorder)","73211009"
"http://www.cdisc.org","b9960f74-1001-4d59-9b1b-dd4150073763","2023-09-29","Code_45","Parallel Study","C82639"
"http://www.cdisc.org","8be42136-8214-4ad8-a7b1-94995469d7f5","2023-09-29","Code_16","Visit","C25716"
"http://www.cdisc.org","91f70cd5-c7e9-4a47-a1df-3fecd342667d","2023-09-29","Code_17","Clinic","C51282"
"http://www.cdisc.org","e80aa4c1-c0c5-484b-9e3a-9a8f9a0411a0","2023-09-29","Code_18","In Person","C175574"
"http://www.cdisc.org","c3db5d4c-6f21-4d98-83cb-a8e3ca676d9c","2023-09-29","Code_19","Visit","C25716"
"http://www.cdisc.org","962fa5fe-c893-4459-90a4-b987a9376573","2023-09-29","Code_20","Clinic","C51282"
"http://www.cdisc.org","a78f97e4-70c8-48a1-9986-c931215d51ce","2023-09-29","Code_21","In Person","C175574"
"http://www.cdisc.org","587e48b4-d27e-4c1d-89f3-537690a3bbd7","2023-09-29","Code_22","Visit","C25716"
"http://www.cdisc.org","6055618e-8a05-4635-913e-b471fefe4700","2023-09-29","Code_23","Clinic","C51282"
"http://www.cdisc.org","6f12c4f6-fa72-46d7-b201-0e49bbef54c0","2023-09-29","Code_24","In Person","C175574"
"http://www.cdisc.org","32d9478b-172f-4398-8b2f-aeab6033497f","2023-09-29","Code_25","Visit","C25716"
"http://www.cdisc.org","489721b7-81f1-4d33-9188-f1d096405dbd","2023-09-29","Code_26","Clinic","C51282"
"http://www.cdisc.org","515f924f-2b7a-444f-b5f5-cb5a12297cc2","2023-09-29","Code_27","In Person","C175574"
"http://www.cdisc.org","948c97fa-23ed-418a-803f-06f6a4fc1cd6","2023-09-29","Code_28","Visit","C25716"
"http://www.cdisc.org","bf66cb46-8616-4b29-9bab-ec558e86c095","2023-09-29","Code_29","Home","C18002"
"http://www.cdisc.org","12bb4f1f-8b76-4b17-9be6-2015b361e726","2023-09-29","Code_30","Telephone Call","C171537"
"http://www.cdisc.org","a8e84590-c65d-4f8d-adee-c6707136e764","2023-09-29","Code_72","Male","C20197"
"http://www.cdisc.org","19b77d93-11a8-4f1a-a7b9-618ee86a135a","2023-09-29","Code_73","Female","C16576"
"NCI Thesaurus","9502f2fc-845d-4971-abf8-ec4f599287c5","","Code_74","Sex","C28421"
"NCI Thesaurus","0331cc7c-6f27-4608-b8b7-009f89ed5afc","","Code_71","Sex","C28421"
"NCI Thesaurus","7c1c3d2e-08cb-4c59-be15-68779c9d8fe8","","Code_76","Race","C17049"
"NCI Thesaurus","d4a8281f-4c88-4dfb-8c3f-e593c9a5e959","","Code_75","Race","C17049"
"NCI Thesaurus","e2823d36-b1e7-4851-ac5e-945b8c719a42","","Code_78","Vital Signs Result","C173522"
"http://www.cdisc.org","bed5acc7-c49f-4139-bc3d-b00c3493792b","2023-09-29","Code_79","Kilogram","C28252"
"http://www.cdisc.org","c6df2e0d-30f9-43bc-afad-87d21c5a3f56","2023-09-29","Code_80","Gram","C48155"
"http://www.cdisc.org","8dd3a5af-0c7a-44c5-a7dd-6299590307a6","2023-09-29","Code_81","Pound","C48531"
"NCI Thesaurus","fc5a8579-c0dd-4167-ad25-74185c43691c","","Code_82","Unit of Weight","C48208"
"NCI Thesaurus","c28a4021-2b24-47b1-9f5f-f40dd73403a9","","Code_77","Body Weight","C81328"
"http://www.cdisc.org","1d6e7839-f990-4ce9-ab2e-3df00dbaa053","2023-09-29","Code_31","Active Comparator Arm","C174267"
"http://www.cdisc.org","49e355ac-498d-47c8-af2e-95f9db0950b6","2023-09-29","Code_32","Data Generated Within Study","C188866"
"http://www.cdisc.org","1cb5122b-3fd4-49a5-99ea-569b79f96e0e","2023-09-29","Code_33","Placebo Comparator Arm","C174268"
"http://www.cdisc.org","c8c8c171-59be-46ed-a021-3644aee65933","2023-09-29","Code_34","Data Generated Within Study","C188866"
"http://www.cdisc.org","c2dc965a-1c43-4a45-82a6-bedab3402c94","2023-09-29","Code_41","Open Label Study","C49659"
"http://www.cdisc.org","180a26e5-de77-410a-9648-ae3dbeed2469","2023-09-29","Code_35","Trial Screening","C48262"
"http://www.cdisc.org","746a322b-6aa4-4824-9850-b4f2af9e029c","2023-09-29","Code_36","Baseline Epoch","C125938"
"http://www.cdisc.org","dc604ff1-566f-4b06-82dd-46b72c234b2d","2023-09-29","Code_37","Treatment Epoch","C101526"
