"uuid:ID","otherReason","instanceType","id"
"d2009138-5364-488a-9057-d4b1c60c824d","","StudyAmendmentReason","StudyAmendmentReason_1"
"79ad797a-159b-4d0f-80cd-ed8ac0cbe614","Fix typographical errors","StudyAmendmentReason","StudyAmendmentReason_2"
