"uuid:ID","name","text","id","label","parameterMap","description"
"f0bd08f1-42e7-4db7-9105-0fe72d6207f2","IE_Dict","","SyntaxTemplateDictionary_1","IE Dictionary","{'min_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMinimumAgeOfParticipants'}, 'max_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMaximumAgeOfParticipants'}, 'StudyPopulation': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'populationDescription'}}","Dictionary for IE"
"539e48f2-6f66-4064-86f3-83210c4ae87b","AS_Dict","","SyntaxTemplateDictionary_2","Assessment Dictionary","{'Activity1': {'klass': 'Activity', 'id': 'Activity_6', 'attribute': 'label'}}","Dictionary for Study Assessments"
