"standardCodeAliases","uuid:ID","id"
"[]","1f35b06e-58b3-4ac7-a9ff-2e3da891ab64","AliasCode_1"
"[]","e542ee5e-e7fb-42a9-9829-9cdda406710d","AliasCode_3"
"[]","e4b2ffbb-888f-4855-a151-e9a6e9673e55","AliasCode_4"
"[]","0d6a3cda-3c6d-4478-b7b8-41a464dfaf69","AliasCode_109"
"[]","06d3524b-7af7-4f35-99ab-5f0a2ea72caf","AliasCode_110"
"[]","5bbc77be-ce92-4d00-9344-ac4fafa4c01c","AliasCode_111"
"[]","f376754a-c148-4d66-9dca-1a046b11ebea","AliasCode_108"
"[]","14f3e6ab-bc97-4fe1-b785-d2bb782bd3f2","AliasCode_113"
"[]","fd033be1-0caf-4aed-ba66-df5e205519c7","AliasCode_114"
"[]","284c0e5d-3821-4b52-8014-b6aa5e09f20c","AliasCode_112"
"[]","1b93dbd3-40da-4f13-9899-ec8765bac730","AliasCode_116"
"[]","3be9baab-cacb-4540-8122-31e5bb315b73","AliasCode_117"
"[]","101c39ea-d4cd-485e-a29d-419fe2941773","AliasCode_115"
"[]","e3f28369-4351-4ecd-a515-a9a6eaac9a6a","AliasCode_119"
"[]","e8f30863-d37d-4474-93d2-f7887e37d8ff","AliasCode_120"
"[]","bc1f0eda-38e5-4d36-94ac-ace4943687a3","AliasCode_121"
"[]","70eb168d-e0ab-4f4f-a69e-d3b152de15eb","AliasCode_122"
"[]","2b9f074e-9ec0-41ee-b4d1-2450eb5dd82e","AliasCode_118"
"[]","a91ad0e4-db37-4cc1-b962-d94547069618","AliasCode_124"
"[]","7a8ccf3d-5a27-431c-bc00-fcaec5059687","AliasCode_125"
"[]","25b8d98f-d053-4835-b572-84070f5ece7a","AliasCode_126"
"[]","8b3ca0a5-78fa-4353-a092-37ba973dff06","AliasCode_127"
"[]","34b3daeb-1d84-4f97-8aa7-1aeda756b734","AliasCode_123"
"[]","eae217c3-9d1f-4c3e-8747-3a3e17f6e159","AliasCode_129"
"[]","ced69b9f-6599-4048-8d7b-4d2b9e02ba40","AliasCode_130"
"[]","4751239f-0bfd-4d89-a795-c074f662fcf8","AliasCode_131"
"[]","d4f54db6-a9b8-4069-99fb-da85ce44a813","AliasCode_132"
"[]","31b98637-c1de-4f47-8b6a-576ede36bcd6","AliasCode_128"
"[]","bd88ca3c-0072-490f-aa7e-bdb05136e756","AliasCode_134"
"[]","e22e9028-9ddc-4702-9d88-55bc66c6c00a","AliasCode_135"
"[]","090b28f9-56ca-421e-960f-98acf6a563da","AliasCode_136"
"[]","430f58f9-f662-4f41-b835-db7a6915065d","AliasCode_137"
"[]","26f43291-b1d2-48a7-8aeb-47c8cb0ca7c8","AliasCode_133"
"[]","3983d4e7-4910-4357-b2d1-c2d84f75d0c6","AliasCode_139"
"[]","89de2782-fc86-4e27-8f48-2caa1cb158f0","AliasCode_140"
"[]","e8a8f167-322a-487d-944a-cf04f8261b32","AliasCode_141"
"[]","41a291fc-91b6-4f66-8199-b8c36e9b73b9","AliasCode_142"
"[]","d89ee304-e79e-44f3-86a8-3431e901c261","AliasCode_138"
"[]","db333c70-91a8-49f2-8d2c-6ca417812ff2","AliasCode_144"
"[]","a8a65065-303c-407e-9f94-daf5ae6ff070","AliasCode_145"
"[]","fc011489-60e2-4c97-95a6-2ec9b7b815fb","AliasCode_146"
"[]","a27bcd97-e244-465c-aa2f-b33495a7db19","AliasCode_147"
