"codeSystem","id","code","uuid:ID","decode","codeSystemVersion"
"http://www.cdisc.org","Code_1","C98388","48d91ffa-7742-4309-8ceb-15ce804252da","Interventional Study","2023-09-29"
"http://www.cdisc.org","Code_2","C15602","93e95f56-af21-4c9c-a606-857e800c7f3e","Phase III Trial","2023-09-29"
"http://www.cdisc.org","Code_6","C132352","b8a92d27-6fd5-4f61-b361-a4bc82f6942d","Sponsor Approval Date","2023-09-29"
"http://www.cdisc.org","Code_7","C68846","aca66524-628d-472b-b091-f34a1933eed0","Global","2023-09-29"
"SPONSOR","Code_3","VAC","b86fb6a0-5858-41b9-b2e3-b1bc36e88903","Vacines Group","12"
"SPONSOR","Code_4","REG","c7efce88-d01b-47fd-9dd9-83800f4ebdf9","Regulatory","12"
"http://www.cdisc.org","Code_10","C93453","9835530a-93a2-4059-a35f-91349b3a965c","Study Registry","2023-09-29"
"ISO 3166 1 alpha3","Code_11","GBR","458a9233-6f74-44b7-a79e-1e89b17a6856","United Kingdom of Great Britain and Northern Ireland","2020-08"
"http://www.cdisc.org","Code_12","C70793","07ed01ab-6fd2-4df2-8176-13ca81137e5d","Clinical Study Sponsor","2023-09-29"
"ISO 3166 1 alpha3","Code_13","FRA","a6c7f2f6-fddc-4e17-a75c-b14d3bdd9acd","France","2020-08"
"http://www.cdisc.org","Code_42","C15714","6da476f5-2eff-4603-82e5-03c31a9cfc5c","Basic Research","2023-09-29"
"http://www.cdisc.org","Code_43","C139174","35fe686f-6e6d-4246-9c51-1fa5af5a7bf2","Device Feasibility Study","2023-09-29"
"http://www.cdisc.org","Code_44","C49666","fbfc3e8c-ec89-4173-a376-1dd99ca06dd8","Efficacy Study","2023-09-29"
"SPONSOR","Code_39","T2_DIABETES","8ff05372-10e8-482b-9031-d5be4129e5de","Type 2 diabetes","12"
"SNOMED","Code_40","73211009","203f0679-5e66-44f4-868d-16b3f445802c","Diabetes mellitus (disorder)","January 31, 2018"
"http://www.cdisc.org","Code_45","C82639","25b4b0a2-1fd4-4c4d-81fa-2a244bb496a8","Parallel Study","2023-09-29"
"http://www.cdisc.org","Code_16","C25716","8c557e80-0478-4811-9784-aec811102c72","Visit","2023-09-29"
"http://www.cdisc.org","Code_17","C51282","cb3b2b87-752a-436b-b1ee-8db858a4e72c","Clinic","2023-09-29"
"http://www.cdisc.org","Code_18","C175574","55aef795-5179-4285-9b32-ed7460c063d0","In Person","2023-09-29"
"http://www.cdisc.org","Code_19","C25716","3057a038-eeda-4e98-82f2-c51ca8c1cdbc","Visit","2023-09-29"
"http://www.cdisc.org","Code_20","C51282","96f4c1a6-837b-437b-ad02-9bb03981f142","Clinic","2023-09-29"
"http://www.cdisc.org","Code_21","C175574","e2db1d57-c7af-4330-977a-186587a33f1c","In Person","2023-09-29"
"http://www.cdisc.org","Code_22","C25716","1370b409-b804-41fb-a040-3a70a9aa90f3","Visit","2023-09-29"
"http://www.cdisc.org","Code_23","C51282","7b8d86e7-40d0-4cbd-9c57-454dc62737bc","Clinic","2023-09-29"
"http://www.cdisc.org","Code_24","C175574","26a21d5c-d446-4bf2-a1a0-ad46f4472e68","In Person","2023-09-29"
"http://www.cdisc.org","Code_25","C25716","14f8a04e-a0e4-4804-9c2b-a487cce04de8","Visit","2023-09-29"
"http://www.cdisc.org","Code_26","C51282","d41317a4-9e8f-4185-ad25-44ffd5047861","Clinic","2023-09-29"
"http://www.cdisc.org","Code_27","C175574","10fa8ceb-fc82-49bd-856e-dfbd11f51f40","In Person","2023-09-29"
"http://www.cdisc.org","Code_28","C25716","fee19467-3a3c-47c2-ae9e-0463adc6ea13","Visit","2023-09-29"
"http://www.cdisc.org","Code_29","C18002","e78c1a92-a041-4870-9d16-586a1f56306a","Home","2023-09-29"
"http://www.cdisc.org","Code_30","C171537","86d33966-4c5d-4cd3-b3dd-678aa75ff5a8","Telephone Call","2023-09-29"
"http://www.cdisc.org","Code_72","C20197","24cf1e88-e2fe-4623-b594-78f5cbad0014","Male","2023-09-29"
"http://www.cdisc.org","Code_73","C16576","0b341606-cab0-4565-9ad1-6be3b7d6f6b7","Female","2023-09-29"
"http://www.cdisc.org","Code_74","C17998","580a20d8-17c5-476a-bdc8-614b9d14ff41","Unknown","2023-09-29"
"NCI Thesaurus","Code_75","C28421","b37e8925-f460-49bd-be16-c03c556b8891","Sex",""
"NCI Thesaurus","Code_71","C28421","96763226-97a2-4d7a-833c-61961bb8c680","Sex",""
"http://www.cdisc.org","Code_82","C17998","26a1b15a-b6e1-4890-9d69-687df87cf015","Unknown","2023-09-29"
"NCI Thesaurus","Code_83","C17049","ef0fac12-0cfd-4eaf-9876-1fd0e477a22a","Race",""
"NCI Thesaurus","Code_81","C17049","935da525-1692-494f-9c37-ae49135da5f8","Race",""
"NCI Thesaurus","Code_88","C173522","f8003408-24bf-4f3c-a131-725d2865f415","Vital Signs Result",""
"http://www.cdisc.org","Code_89","C28252","61368e5a-6d04-4979-8d5e-f748d2ec775b","Kilogram","2023-09-29"
"http://www.cdisc.org","Code_90","C48155","67eccb5c-9ca0-453c-8481-48e640ef2615","Gram","2023-09-29"
"http://www.cdisc.org","Code_91","C48531","fdf2b363-5336-4ed6-9efc-106075627428","Pound","2023-09-29"
"NCI Thesaurus","Code_92","C48208","2f63ac32-8ccf-4c13-86a9-3d5a98779cd8","Unit of Weight",""
"NCI Thesaurus","Code_87","C81328","d92a8c90-0f70-48e6-8dcb-82f80dd03ff2","Body Weight",""
"http://www.cdisc.org","Code_31","C174267","d1cb84a2-d83b-4080-8a45-77d64fed6f93","Active Comparator Arm","2023-09-29"
"http://www.cdisc.org","Code_32","C188866","053985ae-e983-4ace-9d53-f16e0a815d17","Data Generated Within Study","2023-09-29"
"http://www.cdisc.org","Code_33","C174268","108b2b24-9400-46c6-b341-bf6f4509599c","Placebo Comparator Arm","2023-09-29"
"http://www.cdisc.org","Code_34","C188866","dcb8076a-82f6-4ed5-8657-485b9f0b2bc7","Data Generated Within Study","2023-09-29"
"http://www.cdisc.org","Code_41","C49659","c54a51cc-5341-4c5f-965a-6ad435d390d3","Open Label Study","2023-09-29"
"http://www.cdisc.org","Code_35","C48262","aaf5c89d-4e0c-41c8-b3f9-46a419d29634","Trial Screening","2023-09-29"
"http://www.cdisc.org","Code_36","C125938","45e671e2-58ea-4586-a35e-1f44a769fb12","Baseline Epoch","2023-09-29"
"http://www.cdisc.org","Code_37","C101526","e5a2f8b6-b762-4585-83c5-c7a184489873","Treatment Epoch","2023-09-29"
"http://www.cdisc.org","Code_38","C99158","75504928-fdeb-4224-8186-a9a04b37c71f","Clinical Study Follow-up","2023-09-29"
"SNOMED","Code_93","12345","f87e811f-0449-4d55-8964-1cb36b223a37","Indication1","January 31, 2018"
"SNOMED","Code_96","345678","62b83131-81fd-47a8-8ee5-d0113c271397","Indication2","January 31, 2018"
"ICD-10","Code_94","X","18d85e4f-dc49-43f8-8b1d-be99d09b4563","Y","None set"
"SNOMED","Code_95","A","da0080de-2757-414d-aa78-14cbec6f9297","B","January 31, 2018"
"ICD-10","Code_97","DD","47431d8e-e17c-4d7b-80b5-35919f82e4c9","CC","None set"
"SNOMED","Code_98","A","9104cf03-7cd9-4ec6-92a0-35ca57540423","B","January 31, 2018"
"http://www.cdisc.org","Code_103","C85826","c40c5430-2214-4142-be4b-444ce4bbbb85","Trial Primary Objective","2023-09-29"
"http://www.cdisc.org","Code_102","C94496","432db924-9926-441f-9bd8-2d7859baad8c","Primary Endpoint","2023-09-29"
"http://www.cdisc.org","Code_105","C85827","32b6286d-d9e6-40db-a37b-dd5aa1a4b78a","Trial Secondary Objective","2023-09-29"
"http://www.cdisc.org","Code_104","C139173","97073a46-425a-4a27-a5ab-53ab79f94545","Secondary Endpoint","2023-09-29"
"http://www.cdisc.org","Code_106","C139173","201dcafd-c23f-424d-82fe-bef7e4384bc8","Secondary Endpoint","2023-09-29"
"http://www.cdisc.org","Code_107","C139173","577e443d-6071-489a-8b14-b027e4872b2e","Secondary Endpoint","2023-09-29"
"http://www.cdisc.org","Code_108","C139173","be88c6e4-3bac-4aff-bf6c-c177084a81ed","Secondary Endpoint","2023-09-29"
"http://www.cdisc.org","Code_109","C139173","c402c85b-5438-4287-8979-ae3d1cd2112e","Secondary Endpoint","2023-09-29"
"http://www.cdisc.org","Code_110","C139173","9eb418ab-4c1d-47fc-a201-47e72fd5f44e","Secondary Endpoint","2023-09-29"
"http://www.cdisc.org","Code_111","C139173","095ac1ad-78ea-4ee6-b333-70ffcfd90c82","Secondary Endpoint","2023-09-29"
