"description","label","parameterMap","uuid:ID","text","id","name"
"Dictionary for IE","IE Dictionary","{'min_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMinimumAgeOfParticipants'}, 'max_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMaximumAgeOfParticipants'}, 'StudyPopulation': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'populationDescription'}}","e783feed-8fa8-490a-acac-622fd8ef313f","","SyntaxTemplateDictionary_1","IE_Dict"
"Dictionary for Study Assessments","Assessment Dictionary","{'Activity1': {'klass': 'Activity', 'id': 'Activity_6', 'attribute': 'label'}}","07b864aa-2f6d-420a-8473-9de5b5d6068c","","SyntaxTemplateDictionary_2","AS_Dict"
