"dateValue","description","label","uuid:ID","id","name"
"2006-07-01","Design approval date","Design Approval","8047d3dc-b808-4ea0-9c96-01b73141f2c3","GovernanceDate_1","Approval"
"2006-07-01","Protocol document approval date","Protocol Approval","c1b3f873-fb2a-4476-a9bd-df5ddab1aa5b","GovernanceDate_2","Approval"
