"dateValue","description","uuid:ID","label","id","name"
"2006-06-01","Design approval date","fb114ac2-24bf-4c76-b8c7-3fcb9e9d672b","Design Approval","GovernanceDate_1","D_APPROVE"
"2006-07-01","Protocol document approval date","dd1f94a4-96e2-4812-a86e-86e1845f9e80","Protocol Approval","GovernanceDate_2","P_APPROVE"
