"id","uuid:ID","instanceType","otherReason"
"StudyAmendmentReason_1","a56a8f15-7d28-4fe1-9c85-cddb0fe7d755","StudyAmendmentReason",""
"StudyAmendmentReason_2","4c1b0735-20b4-44e7-9ec0-897e9fcd8eab","StudyAmendmentReason","Fix typographical errors"
