"instanceType","otherReason","id","uuid:ID"
"StudyAmendmentReason","","StudyAmendmentReason_1","c5060dfe-6263-49be-adb4-0ff02b5e42bf"
"StudyAmendmentReason","Fix typographical errors","StudyAmendmentReason_2","4ef8c7a5-a912-4f23-856d-5f981c4b7fa7"
