"uuid:ID","id","otherReason","instanceType"
"14d36e35-4b65-4bf5-a149-5814a3be4615","StudyAmendmentReason_1","","StudyAmendmentReason"
"fe3be25c-8c2b-4e19-b2e9-96632c1f08df","StudyAmendmentReason_2","Fix typographical errors","StudyAmendmentReason"
