"minValue","isApproximate","uuid:ID","id","maxValue","instanceType"
"300.0","False","d9e3e10a-e021-447a-88c1-2b7385f753a6","Range_2","300.0","Range"
"300.0","False","a311c8be-b9f4-40d6-bbea-c78eb3129875","Range_1","300.0","Range"
"50.0","False","2b510fbf-3b85-4257-9d84-b389c0c55d87","Range_3","100.0","Range"
