"uuid:ID","id","description","name","label","studyArmDataOriginDescription"
"8b69b8d8-b180-44dc-9577-d32ea7800499","StudyArm_1","Active Substance","Active","","Data collected from subjects"
"a2afbe72-c190-46a5-9b05-f494285f86a6","StudyArm_2","Placebo","Placebo","","Data collected from subjects"
