"decode","code","uuid:ID","codeSystem","id","codeSystemVersion"
"Interventional Study","C98388","52bbe659-8286-4d63-8061-1c885f15c668","http://www.cdisc.org","Code_1","2023-09-29"
"Phase III Trial","C15602","10e75bdf-8a82-477b-9ba6-26657ad27f6a","http://www.cdisc.org","Code_2","2023-09-29"
"Sponsor Approval Date","C132352","60520f33-4630-4659-8a14-d2c7290a7643","http://www.cdisc.org","Code_6","2023-09-29"
"Global","C68846","6d5ddd33-a7d0-42d7-b4b1-dbdec0811543","http://www.cdisc.org","Code_7","2023-09-29"
"Vacines Group","VAC","5a92e61c-b0fa-46bf-92b4-8b307b91891d","SPONSOR","Code_3","12"
"Regulatory","REG","50ef2fd6-8750-43b5-a7c4-aa796a6fc7c5","SPONSOR","Code_4","12"
"Study Registry","C93453","dc73624c-a8e3-4f78-861c-1c369510c680","http://www.cdisc.org","Code_10","2023-09-29"
"United Kingdom of Great Britain and Northern Ireland","GBR","187c124e-4378-4ed8-bb30-330b564e64e6","ISO 3166 1 alpha3","Code_11","2020-08"
"Clinical Study Sponsor","C70793","3892fcfd-b1ca-497c-9a0c-86ca0b583729","http://www.cdisc.org","Code_12","2023-09-29"
"France","FRA","00e87830-ead1-4ad7-a274-0f654d9cd13f","ISO 3166 1 alpha3","Code_13","2020-08"
"Basic Research","C15714","0bf90c02-7d57-4cac-966c-d09d7f459ad5","http://www.cdisc.org","Code_42","2023-09-29"
"Device Feasibility Study","C139174","419e9835-0bf5-4f24-9bad-9893f9d75462","http://www.cdisc.org","Code_43","2023-09-29"
"Efficacy Study","C49666","ad9101a3-a767-4df1-8b62-7550062b67b5","http://www.cdisc.org","Code_44","2023-09-29"
"Type 2 diabetes","T2_DIABETES","7a254f76-fdc9-44e6-b881-c0b0e92c3238","SPONSOR","Code_39","12"
"Diabetes mellitus (disorder)","73211009","b5d9b178-b4c4-46fb-ad34-6acf02728552","SNOMED","Code_40","January 31, 2018"
"Parallel Study","C82639","29fd9985-f330-49ef-9a26-555ea7850297","http://www.cdisc.org","Code_45","2023-09-29"
"Visit","C25716","a85fb64a-6a97-4d16-8b46-91ff56860caa","http://www.cdisc.org","Code_16","2023-09-29"
"Clinic","C51282","8cd98617-0cd0-405f-883c-9221ff97dc80","http://www.cdisc.org","Code_17","2023-09-29"
"In Person","C175574","319d4c24-9d7c-4e02-9d43-7422d93a0dd6","http://www.cdisc.org","Code_18","2023-09-29"
"Visit","C25716","c3c0b761-2441-40c8-b36d-2fb6ae0696c8","http://www.cdisc.org","Code_19","2023-09-29"
"Clinic","C51282","ebd27807-fddc-41fa-8d55-a3fdf1c98691","http://www.cdisc.org","Code_20","2023-09-29"
"In Person","C175574","4ed88e26-5172-4952-a5f0-fc4c44f46ebd","http://www.cdisc.org","Code_21","2023-09-29"
"Visit","C25716","e80edfff-4ec7-4bfb-8c82-5807cfd13b2b","http://www.cdisc.org","Code_22","2023-09-29"
"Clinic","C51282","d5339c78-4660-41d0-9e7a-67a5c80d6571","http://www.cdisc.org","Code_23","2023-09-29"
"In Person","C175574","4884b389-a0ad-4364-a859-9a4bf953527c","http://www.cdisc.org","Code_24","2023-09-29"
"Visit","C25716","216307e2-d768-49cd-b271-cd84aec5ac97","http://www.cdisc.org","Code_25","2023-09-29"
"Clinic","C51282","3e71b90b-b2d7-42b5-a755-a4336b04aeef","http://www.cdisc.org","Code_26","2023-09-29"
"In Person","C175574","62f58253-f954-4ef4-934d-1fe91068f41d","http://www.cdisc.org","Code_27","2023-09-29"
"Visit","C25716","296a58cf-ebdf-401a-b622-4286f1957cad","http://www.cdisc.org","Code_28","2023-09-29"
"Home","C18002","cc5216a2-4fac-4857-9c7f-2d36bfddda33","http://www.cdisc.org","Code_29","2023-09-29"
"Telephone Call","C171537","a5a7cee0-13ec-4782-8fee-c35f45f7bd7b","http://www.cdisc.org","Code_30","2023-09-29"
"Male","C20197","fb35cd32-181b-4367-9edc-89a86df2fc93","http://www.cdisc.org","Code_72","2023-09-29"
"Female","C16576","612aa3be-690d-4e1c-bc5f-2a059351417b","http://www.cdisc.org","Code_73","2023-09-29"
"Unknown","C17998","1845f3f0-8dd1-403e-a780-882a6bc22f49","http://www.cdisc.org","Code_74","2023-09-29"
"Sex","C28421","4c8deff4-46de-4d8c-9cc3-c69f30db78d0","NCI Thesaurus","Code_75",""
"Sex","C28421","0f63d8ee-3176-4a54-b923-52586de0d8fe","NCI Thesaurus","Code_71",""
"Unknown","C17998","31ec9e28-0504-48b4-af83-4e2cd07bee69","http://www.cdisc.org","Code_77","2023-09-29"
"Race","C17049","12293cf9-7d96-4648-a013-5e151ae4797e","NCI Thesaurus","Code_78",""
"Race","C17049","e7727f7f-f924-491d-8556-920789378b5b","NCI Thesaurus","Code_76",""
"Vital Signs Result","C173522","2dfb821f-7d97-43a5-ab6b-1c13174768d8","NCI Thesaurus","Code_80",""
"Kilogram","C28252","cbb592d0-6047-419f-9c7c-ef85f33ff593","http://www.cdisc.org","Code_81","2023-09-29"
"Gram","C48155","4e6ab9a9-170f-4af9-8552-fe5fc200d77a","http://www.cdisc.org","Code_82","2023-09-29"
"Pound","C48531","46286586-47d8-4f02-ac36-8b3773728a17","http://www.cdisc.org","Code_83","2023-09-29"
"Unit of Weight","C48208","b29c8ead-462b-4f1f-a31a-72598ce76782","NCI Thesaurus","Code_84",""
"Body Weight","C81328","93c88528-09ae-4132-a364-5136eb141b26","NCI Thesaurus","Code_79",""
"Active Comparator Arm","C174267","c444691d-a995-45e8-8807-e424dd96116e","http://www.cdisc.org","Code_31","2023-09-29"
"Data Generated Within Study","C188866","dcbaa6f9-0261-46f0-8ee4-8884af983649","http://www.cdisc.org","Code_32","2023-09-29"
"Placebo Comparator Arm","C174268","0d0cfb2d-e96c-40a9-a760-94fb21a01a1b","http://www.cdisc.org","Code_33","2023-09-29"
"Data Generated Within Study","C188866","260c8577-cf03-460f-9536-f8075c9d6d78","http://www.cdisc.org","Code_34","2023-09-29"
"Open Label Study","C49659","2af84089-93a7-477a-87ab-b95e2e6ec9e6","http://www.cdisc.org","Code_41","2023-09-29"
"Trial Screening","C48262","fbb30518-5c91-446c-8fc6-a98b111cc174","http://www.cdisc.org","Code_35","2023-09-29"
"Baseline Epoch","C125938","d2bd14cc-9d58-48c1-9e42-085870c40e02","http://www.cdisc.org","Code_36","2023-09-29"
"Treatment Epoch","C101526","00067f78-21c4-4fcf-ae99-bf91583bb9fd","http://www.cdisc.org","Code_37","2023-09-29"
"Clinical Study Follow-up","C99158","6e795b26-e1f8-4ff3-9152-91b41f612a7d","http://www.cdisc.org","Code_38","2023-09-29"
"Indication1","12345","af10575c-d155-41f5-894a-e45f6ed1b3a5","SNOMED","Code_85","January 31, 2018"
"Indication2","345678","f8ca3056-c10f-4087-8581-38860cd0bf30","SNOMED","Code_88","January 31, 2018"
"Y","X","346ebd91-04bb-483a-9983-a5c85600b81c","ICD-10","Code_86","None set"
"B","A","e7c1c144-5ee0-4256-ab99-ee90ec10f11c","SNOMED","Code_87","January 31, 2018"
"CC","DD","0f6a869f-6670-4205-ba52-81248cc4a72f","ICD-10","Code_89","None set"
"B","A","53d58cc0-fc91-4b01-8b38-628d6df8c94a","SNOMED","Code_90","January 31, 2018"
"Trial Primary Objective","C85826","682dce4a-fbcd-47fd-bbbd-6fa9913f8bf2","http://www.cdisc.org","Code_95","2023-09-29"
"Primary Endpoint","C94496","fa49062a-dc94-4fcc-89f4-5f7c50344448","http://www.cdisc.org","Code_94","2023-09-29"
"Trial Secondary Objective","C85827","ed1cb073-4d65-40bf-a107-1f9b00df6d4b","http://www.cdisc.org","Code_97","2023-09-29"
"Secondary Endpoint","C139173","582ad8d9-f690-4d34-8a19-7f5608875d8a","http://www.cdisc.org","Code_96","2023-09-29"
"Secondary Endpoint","C139173","9feaa068-3f69-4196-a8ec-681122259c55","http://www.cdisc.org","Code_98","2023-09-29"
"Secondary Endpoint","C139173","59184fff-3e77-4a4b-813e-66cf3204b40d","http://www.cdisc.org","Code_99","2023-09-29"
"Secondary Endpoint","C139173","efa71085-36da-44b3-9e4b-7a3a5c22b4b8","http://www.cdisc.org","Code_100","2023-09-29"
"Secondary Endpoint","C139173","fda7c52c-2638-4f06-a5f5-f67e6a4d744d","http://www.cdisc.org","Code_101","2023-09-29"
"Secondary Endpoint","C139173","0d73e790-4b3c-4acf-b42d-5f0f9d7b01d1","http://www.cdisc.org","Code_102","2023-09-29"
"Secondary Endpoint","C139173","6c3148bf-4730-4a08-acaf-f6edcab95fb3","http://www.cdisc.org","Code_103","2023-09-29"
"Secondary Endpoint","C139173","c97a500a-60b1-47dc-b8b1-b2850ce6827b","http://www.cdisc.org","Code_104","2023-09-29"
"Secondary Endpoint","C139173","343ab5d3-4388-4815-934a-9f8d649e4b93","http://www.cdisc.org","Code_105","2023-09-29"
"Secondary Endpoint","C139173","345819fe-c4ac-46bb-a38b-4e4dbe526c6e","http://www.cdisc.org","Code_106","2023-09-29"
"Secondary Endpoint","C139173","a62ae3a7-0258-4d49-872e-4530f6fa1ad3","http://www.cdisc.org","Code_107","2023-09-29"
"Both","C49636","1a7e5e53-5f57-4d21-9d05-967c91626c76","http://www.cdisc.org","Code_91","2023-09-29"
"Male","C20197","d3a0007e-33ed-4efb-b552-e130944c49f9","http://www.cdisc.org","Code_92","2023-09-29"
"Female","C16576","4685e84b-3bee-4a2a-bc6b-cc5443004838","http://www.cdisc.org","Code_93","2023-09-29"
"Before","C201264","3e727222-ed0b-4823-ae4b-818e0badaacf","http://www.cdisc.org","Code_48","2023-09-29"
"Start to Start","C201265","4ec11974-0783-4db1-bdc3-cc6391fd28e2","http://www.cdisc.org","Code_50","2023-09-29"
"Before","C201264","2d6b6505-aa64-4096-970d-1477e8f5ceed","http://www.cdisc.org","Code_53","2023-09-29"
"Start to Start","C201265","f5c1ff02-2773-4afa-80bf-1b44b124ca4b","http://www.cdisc.org","Code_55","2023-09-29"
"Fixed Reference","C201264","361bb5c9-e681-4d15-acc7-1999ef72de88","http://www.cdisc.org","Code_56","2023-09-29"
"Start to Start","C201265","6c78bdd3-9bd9-4b1e-8725-f6644a5947d4","http://www.cdisc.org","Code_60","2023-09-29"
"After","C201264","ddae0619-1955-4d31-8424-0def344235ec","http://www.cdisc.org","Code_62","2023-09-29"
"Start to Start","C201265","dc9c977d-e63a-4085-bed0-63d5b1b6993a","http://www.cdisc.org","Code_65","2023-09-29"
"After","C201264","3ac87727-372d-4229-8826-a15b3bdc8f4b","http://www.cdisc.org","Code_67","2023-09-29"
"Start to Start","C201265","432bb14e-c10a-43fe-bd3c-13d25e4d69ba","http://www.cdisc.org","Code_70","2023-09-29"
"Draft","C85255","972e6cc4-5203-4122-8188-7582f6a31aa5","http://www.cdisc.org","Code_5","2023-09-29"
"Protocol Effective Date","C99903x1","c9dee60f-62ad-4114-b56b-edbac555f2ae","http://www.cdisc.org","Code_8","2023-09-29"
"Global","C68846","9485d23d-5b75-4654-8ff9-ef9cbc99aaa6","http://www.cdisc.org","Code_9","2023-09-29"
