"maxValue","isApproximate","minValue","id","uuid:ID","instanceType"
"300.0","False","300.0","Range_2","dfbf7372-b43c-4634-8013-12a4df855917","Range"
"300.0","False","300.0","Range_1","621e17e4-543d-4ecb-bee5-17302b019514","Range"
"100.0","False","50.0","Range_3","13d537f7-8f7d-4af6-b2d7-cf2d921ad1fd","Range"
