"otherReason","uuid:ID","id","instanceType"
"","037264cf-8c03-4863-80e8-6831e1dab4d4","StudyAmendmentReason_1","StudyAmendmentReason"
"Fix typographical errors","730ff934-69be-4657-9273-6b7c69b2613f","StudyAmendmentReason_2","StudyAmendmentReason"
