"label","text","name","description","id","uuid:ID","parameterMap"
"IE Dictionary","","IE_Dict","Dictionary for IE","SyntaxTemplateDictionary_1","88bbabf4-eb0a-4600-934e-77a9a06a9b43","{'min_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMinimumAgeOfParticipants'}, 'max_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMaximumAgeOfParticipants'}, 'StudyPopulation': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'populationDescription'}}"
"Assessment Dictionary","","AS_Dict","Dictionary for Study Assessments","SyntaxTemplateDictionary_2","ef2f3cd4-e5b4-4e90-8250-15c29d5d5922","{'Activity1': {'klass': 'Activity', 'id': 'Activity_6', 'attribute': 'label'}}"
