"parameterMap","name","text","label","uuid:ID","id","description"
"{'min_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMinimumAgeOfParticipants'}, 'max_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMaximumAgeOfParticipants'}, 'StudyPopulation': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'populationDescription'}}","IE_Dict","","IE Dictionary","1f1b9257-d8ce-4776-8d84-2c27be148d62","SyntaxTemplateDictionary_1","Dictionary for IE"
"{'Activity1': {'klass': 'Activity', 'id': 'Activity_6', 'attribute': 'label'}}","AS_Dict","","Assessment Dictionary","072a3017-62f9-40dd-92aa-8b3da9d37677","SyntaxTemplateDictionary_2","Dictionary for Study Assessments"
