"id","uuid:ID","quantity"
"SubjectEnrollment_1","4423c65c-9bcb-402d-85f0-eca98044081f","15"
"SubjectEnrollment_2","a46bc4f8-df3d-4fc7-aa4f-df85ca79ab98","20%"
