"code","uuid:ID","codeSystemVersion","decode","id","codeSystem"
"C98388","39e925aa-ed38-47e9-95cc-21a2994ead82","2023-09-29","Interventional Study","Code_1","http://www.cdisc.org"
"C15602","777131fd-6d4b-4b1e-9b98-c40ce741e507","2023-09-29","Phase III Trial","Code_2","http://www.cdisc.org"
"C132352","904bf14e-fb7d-439d-a65f-d3ae8bcb7382","2023-09-29","Sponsor Approval Date","Code_6","http://www.cdisc.org"
"C25464","d8613760-9ef7-4917-8789-a2307b8bc50f","2023-09-29","Country","Code_8","http://www.cdisc.org"
"GBR","96842e77-03f3-439f-8149-c81f4339f9de","2020-08","United Kingdom of Great Britain and Northern Ireland","Code_7","ISO 3166 1 alpha3"
"C25464","c4db264b-cda4-4da3-83e5-f3e89fbfc9a4","2023-09-29","Country","Code_10","http://www.cdisc.org"
"FRA","cc9f3506-7ff7-4bed-92a6-7f2d4249e2cc","2020-08","France","Code_9","ISO 3166 1 alpha3"
"C41129","6e2eeb06-dfda-4958-9dbf-fe993977fa08","2023-09-29","Region","Code_12","http://www.cdisc.org"
"142","7c85055c-bc12-43fd-960a-61d10907cdd6","2020-08","Asia","Code_11","ISO 3166 1 alpha3"
"C25464","882198a2-39e5-4a48-9bb8-e5023c1b5b90","2023-09-29","Country","Code_14","http://www.cdisc.org"
"USA","891a3c92-f7ad-4e8b-9994-f769c130ff17","2020-08","United States of America","Code_13","ISO 3166 1 alpha3"
"C17649","e23ddc02-a8a2-42d2-9840-b80988e09d10","2023-09-29","Other","Code_30","http://www.cdisc.org"
"C41129","575df956-3755-443f-8922-ce0b10e14733","2023-09-29","Region","Code_32","http://www.cdisc.org"
"150","872590b3-8a72-483a-945b-90a617a6ace9","2020-08","Europe","Code_31","ISO 3166 1 alpha3"
"C99904x7","19bb44e6-4d3e-4cf2-a433-55e9812eefe9","2023-09-29","Change In Strategy","Code_27","http://www.cdisc.org"
"C99904x10","c962f8a6-789f-4691-be05-3c15047608c4","2023-09-29","Investigator/Site Feedback","Code_28","http://www.cdisc.org"
"C68846","8e619dba-3da6-46d3-b3b2-c344a7f9fd56","2023-09-29","Global","Code_29","http://www.cdisc.org"
"C99904x4","9a5b8db1-726f-49aa-878c-5d5727e83b7b","2023-09-29","New Safety Information Available","Code_22","http://www.cdisc.org"
"C41129","025b645f-4f1d-4c69-993b-a526a8d26b3f","2023-09-29","Region","Code_24","http://www.cdisc.org"
"150","26530cd5-38fd-485b-a721-5662df1f65aa","2020-08","Europe","Code_23","ISO 3166 1 alpha3"
"C25464","62e81881-bf7f-4549-9aa1-0677ee0d0247","2023-09-29","Country","Code_26","http://www.cdisc.org"
"DNK","d01e42a4-4f27-48a3-96be-b81211d5e1a6","2020-08","Denmark","Code_25","ISO 3166 1 alpha3"
"C99904x3","648d2b6a-6aba-4662-a222-eac5964b5f56","2023-09-29","IRB/IEC Feedback","Code_20","http://www.cdisc.org"
"C68846","db0637f4-9653-4abb-8bcc-7442883adf49","2023-09-29","Global","Code_21","http://www.cdisc.org"
"VAC","c8e1f4f5-ba13-4401-a93d-7cd8f41ab187","12","Vacines Group","Code_3","SPONSOR"
"REG","a5613ca7-29df-4ede-8e8a-d46e6b1fed35","12","Regulatory","Code_4","SPONSOR"
"C93453","efe6a7be-2273-4fb0-820b-837b9a67a60f","2023-09-29","Study Registry","Code_33","http://www.cdisc.org"
"GBR","334f4f07-e259-4b5f-b4ef-6e53d16343f8","2020-08","United Kingdom of Great Britain and Northern Ireland","Code_34","ISO 3166 1 alpha3"
"C70793","e7b2729d-31ee-4cc3-8418-9215a32dbbc5","2023-09-29","Clinical Study Sponsor","Code_35","http://www.cdisc.org"
"FRA","f7542957-86eb-4da3-be46-194575388edb","2020-08","France","Code_36","ISO 3166 1 alpha3"
"C15714","fc3e55a0-3838-411b-b58e-e879d371bd6f","2023-09-29","Basic Research","Code_80","http://www.cdisc.org"
"C139174","b040971a-d7e6-4dfb-9d94-284c56e08833","2023-09-29","Device Feasibility Study","Code_81","http://www.cdisc.org"
"C49666","d167869d-bfec-4ea6-a932-d089f38b8faf","2023-09-29","Efficacy Study","Code_82","http://www.cdisc.org"
"T2_DIABETES","1b29eef4-145c-4760-a5ef-9162960b044c","12","Type 2 diabetes","Code_77","SPONSOR"
"73211009","5721fe61-986c-4e29-94d2-0f70146764c7","January 31, 2018","Diabetes mellitus (disorder)","Code_78","SNOMED"
"C82639","3af79695-f4df-4e37-beb3-70bfbb889441","2023-09-29","Parallel Study","Code_83","http://www.cdisc.org"
"C25716","f009ae73-a74b-4878-b63f-d194b20741ac","2023-09-29","Visit","Code_39","http://www.cdisc.org"
"C51282","9079e9f3-5f0c-4d26-9fd1-f67873e208c3","2023-09-29","Clinic","Code_40","http://www.cdisc.org"
"C175574","501f29cb-79bb-48bf-8d11-d3be4c02e16e","2023-09-29","In Person","Code_41","http://www.cdisc.org"
"C25716","d43a7d66-8b2a-4d2c-ab4a-d3d41d97962e","2023-09-29","Visit","Code_42","http://www.cdisc.org"
"C51282","c890d194-f631-4766-89d3-482814b38c9b","2023-09-29","Clinic","Code_43","http://www.cdisc.org"
"C175574","a5c25c62-de96-49ef-9ea1-7ccc05b758fe","2023-09-29","In Person","Code_44","http://www.cdisc.org"
"C25716","2e358b7c-5a74-4230-a389-47bcf9527d41","2023-09-29","Visit","Code_45","http://www.cdisc.org"
"C51282","fc8f3ef7-52cf-40ef-bafb-398c2de0d241","2023-09-29","Clinic","Code_46","http://www.cdisc.org"
"C175574","085cba41-c0ff-4525-ad02-79b001022e95","2023-09-29","In Person","Code_47","http://www.cdisc.org"
"C25716","5f5397de-cb12-47ef-b72f-2e82cddd1762","2023-09-29","Visit","Code_48","http://www.cdisc.org"
"C51282","873b7a37-3136-4624-9b03-c8473d191bb0","2023-09-29","Clinic","Code_49","http://www.cdisc.org"
"C175574","e7caeb26-7472-4e5c-8ba8-34e93351c791","2023-09-29","In Person","Code_50","http://www.cdisc.org"
"C25716","ca167d10-ed3b-4424-9f8b-4a277965e36d","2023-09-29","Visit","Code_51","http://www.cdisc.org"
"C51282","4348df78-d47c-4942-9fbc-d9cbc5e951e3","2023-09-29","Clinic","Code_52","http://www.cdisc.org"
"C175574","fbc1194d-fac1-4d9f-8699-89761ef9fd30","2023-09-29","In Person","Code_53","http://www.cdisc.org"
"C25716","460c3310-5eee-44ed-932b-c0166fe695db","2023-09-29","Visit","Code_54","http://www.cdisc.org"
"C18002","98f3fc45-ee6d-4eca-a9c2-9ab1d5b6adc7","2023-09-29","Home","Code_55","http://www.cdisc.org"
"C171537","67aebe8f-5197-4687-a943-771438d82561","2023-09-29","Telephone Call","Code_56","http://www.cdisc.org"
"12345678","931b43fc-2476-445f-9019-7af9f680cf24","January 31, 2018","Test","Code_37","SNOMED"
"12345679","a7526a7d-7b18-4150-90c7-2d6b9fb20a29","January 31, 2018","Test","Code_38","SNOMED"
"C20197","d43af171-0497-4bfc-9ced-da2231d6148f","2023-09-29","Male","Code_85","http://www.cdisc.org"
"C16576","62c81d91-7089-4446-9102-9182f5e3d5bd","2023-09-29","Female","Code_86","http://www.cdisc.org"
"C17998","5d342119-2ad5-4be0-8774-768be97ccd66","2023-09-29","Unknown","Code_87","http://www.cdisc.org"
"C28421","b83ec3bd-b9cf-42dd-859e-8bc39d71ea33","","Sex","Code_88","NCI Thesaurus"
"C28421","eaffabc7-c225-45e9-a836-9b0446e8da23","","Sex","Code_84","NCI Thesaurus"
"C17998","6af36e1f-9743-44fb-95ba-c95fec632e53","2023-09-29","Unknown","Code_90","http://www.cdisc.org"
"C17049","bdf84854-9759-4657-a6fd-4a679f2b99e6","","Race","Code_91","NCI Thesaurus"
"C17049","3473f4e3-02be-45ae-a55e-26a787b858f6","","Race","Code_89","NCI Thesaurus"
"C173522","7284a171-9896-4198-8154-d2fc1487f2a4","","Vital Signs Result","Code_93","NCI Thesaurus"
"C28252","ac3d56bd-fdd3-44f1-8ed5-aeba1f5163d6","2023-09-29","Kilogram","Code_94","http://www.cdisc.org"
"C48155","ecf48226-4fb7-4b3d-a5e7-c88309e509e8","2023-09-29","Gram","Code_95","http://www.cdisc.org"
"C48531","e51c87ef-986a-4e53-b0ad-ba87cd2e5244","2023-09-29","Pound","Code_96","http://www.cdisc.org"
"C48208","c6dc944f-0b44-4db9-9bfb-4acf0a6ab9b7","","Unit of Weight","Code_97","NCI Thesaurus"
"C81328","f4f26e66-4190-4000-9690-1fcd341f4edd","","Body Weight","Code_92","NCI Thesaurus"
"C174267","f85caf13-faf8-4acf-a5a9-a759c821aa95","2023-09-29","Active Comparator Arm","Code_57","http://www.cdisc.org"
"C188866","c02a617f-0e11-416d-925a-bd6f6286f285","2023-09-29","Data Generated Within Study","Code_58","http://www.cdisc.org"
"C174268","1a790943-35f4-4183-aa6f-bfe1d7afc3cc","2023-09-29","Placebo Comparator Arm","Code_59","http://www.cdisc.org"
"C188866","33fb4959-b09b-432e-9df8-a6de3cd9a4a5","2023-09-29","Data Generated Within Study","Code_60","http://www.cdisc.org"
"C49659","e94c9217-a0cc-4bd2-a434-02bbffa04490","2023-09-29","Open Label Study","Code_79","http://www.cdisc.org"
"C48262","311da035-1138-4fba-9c7f-79be61691ce2","2023-09-29","Trial Screening","Code_61","http://www.cdisc.org"
"C125938","ddb78781-342d-46c9-bfa9-70b109253b38","2023-09-29","Baseline Epoch","Code_62","http://www.cdisc.org"
"C101526","24f73ecf-614a-42dd-b0cb-c5fc3d6a270e","2023-09-29","Treatment Epoch","Code_63","http://www.cdisc.org"
"C99158","a5909ec5-3bb6-49f2-bc44-074687eba7b5","2023-09-29","Clinical Study Follow-up","Code_64","http://www.cdisc.org"
