"datatype","isRequired","instanceType","isEnabled","label","name","uuid:ID","id"
"text","True","BiomedicalConceptProperty","True","DSDECOD","DSDECOD","496232b5-ce3b-408a-b438-d3e3ed57b4e5","BiomedicalConceptProperty_116"
"text","True","BiomedicalConceptProperty","True","DSTERM","DSTERM","b36e6879-4fe3-4936-a6ae-acd1bfe3cfff","BiomedicalConceptProperty_117"
"datetime","True","BiomedicalConceptProperty","True","DSSTDTC","DSSTDTC","a0ae1882-b1d6-4f59-b168-157e3063f976","BiomedicalConceptProperty_118"
"string","True","BiomedicalConceptProperty","True","Sex","Sex","7819665e-01a5-43aa-8748-3d90e6d0f79f","BiomedicalConceptProperty_119"
"string","True","BiomedicalConceptProperty","True","Race","Race","b6602c17-1a94-4452-91f3-145248099bcc","BiomedicalConceptProperty_120"
"","True","BiomedicalConceptProperty","True","VSTESTCD","VSTESTCD","9edd588c-5265-4823-98f1-26f92eea2b2b","BiomedicalConceptProperty_121"
"float","True","BiomedicalConceptProperty","True","VSORRES","VSORRES","9c1f0d2f-b60f-4e3d-8e35-f0bc1c9e03bf","BiomedicalConceptProperty_122"
"","True","BiomedicalConceptProperty","True","VSORRESU","VSORRESU","2cc43fd7-639d-4208-b8f7-83ef944a360a","BiomedicalConceptProperty_123"
"","True","BiomedicalConceptProperty","True","VSLOC","VSLOC","d0637654-e0b4-48a3-8c2d-15bbcfdb4ab4","BiomedicalConceptProperty_124"
"","True","BiomedicalConceptProperty","True","VSTESTCD","VSTESTCD","86eb5f5f-a786-40d9-ba83-5bfa691c2d77","BiomedicalConceptProperty_125"
"float","True","BiomedicalConceptProperty","True","VSORRES","VSORRES","b49fc7bb-935d-429b-80c1-f5725854efbd","BiomedicalConceptProperty_126"
"","True","BiomedicalConceptProperty","True","VSORRESU","VSORRESU","654de9ed-6e06-4ebf-a398-13e6496f5688","BiomedicalConceptProperty_127"
"","True","BiomedicalConceptProperty","True","VSTESTCD","VSTESTCD","e7a29c15-6e71-4e0e-8316-ca351141010f","BiomedicalConceptProperty_128"
"float","True","BiomedicalConceptProperty","True","VSORRES","VSORRES","d5f01a7f-ee1e-4f0b-acef-d1ad9fa27d2b","BiomedicalConceptProperty_129"
"","True","BiomedicalConceptProperty","True","VSORRESU","VSORRESU","ed4faf83-29da-4a6e-808e-2a08c51c14f4","BiomedicalConceptProperty_130"
"","True","BiomedicalConceptProperty","True","LBTESTCD","LBTESTCD","96b451cb-9530-43cf-9ced-0e97867cc4af","BiomedicalConceptProperty_131"
"float","True","BiomedicalConceptProperty","True","LBORRES","LBORRES","f5d3f2d9-3259-441e-a239-636386aaab8b","BiomedicalConceptProperty_132"
"","True","BiomedicalConceptProperty","True","LBORRESU","LBORRESU","49490e19-3f5e-464d-b474-c67151cb0e2d","BiomedicalConceptProperty_133"
"","True","BiomedicalConceptProperty","True","LBSPEC","LBSPEC","3609185a-0f3f-4e13-b458-1bb45e101672","BiomedicalConceptProperty_134"
"","True","BiomedicalConceptProperty","True","LBFAST","LBFAST","ca2ad2f7-c889-41ce-908e-71fabd28ed1a","BiomedicalConceptProperty_135"
"","True","BiomedicalConceptProperty","True","LBTESTCD","LBTESTCD","5b6be2cf-8b45-4b57-a724-bce27d8811ce","BiomedicalConceptProperty_136"
"text","True","BiomedicalConceptProperty","True","LBORRES","LBORRES","cd888bc4-96e0-4fdf-9b41-5cc0273f881a","BiomedicalConceptProperty_137"
"","True","BiomedicalConceptProperty","True","LBSPEC","LBSPEC","8bff6eed-1e50-4039-9292-3669c68a530c","BiomedicalConceptProperty_138"
"","True","BiomedicalConceptProperty","True","LBFAST","LBFAST","4b29878e-f78d-4191-8a95-34e35de3470c","BiomedicalConceptProperty_139"
"","True","BiomedicalConceptProperty","True","LBTESTCD","LBTESTCD","0e351aac-ab25-4fb8-a19a-478dcb600f0b","BiomedicalConceptProperty_140"
"float","True","BiomedicalConceptProperty","True","LBORRES","LBORRES","6980f7f1-a20a-4b77-9905-1b6944283d04","BiomedicalConceptProperty_141"
"","True","BiomedicalConceptProperty","True","LBORRESU","LBORRESU","31a9fdd0-06ed-4d49-b577-d1ead2641863","BiomedicalConceptProperty_142"
"","True","BiomedicalConceptProperty","True","LBSPEC","LBSPEC","09fc6f4e-91ca-4d14-a69b-05be7b2aaa11","BiomedicalConceptProperty_143"
"","True","BiomedicalConceptProperty","True","LBFAST","LBFAST","39273928-d851-48b6-a539-bc68b7dbf1ce","BiomedicalConceptProperty_144"
"","True","BiomedicalConceptProperty","True","LBTESTCD","LBTESTCD","98e40407-b142-4813-a81d-fc6aa1c0eb23","BiomedicalConceptProperty_145"
"float","True","BiomedicalConceptProperty","True","LBORRES","LBORRES","0b4d7faf-2fe1-40cc-9a22-b5b82b22a689","BiomedicalConceptProperty_146"
"","True","BiomedicalConceptProperty","True","LBORRESU","LBORRESU","4e40de28-a574-4cd2-bb40-84e519851473","BiomedicalConceptProperty_147"
"","True","BiomedicalConceptProperty","True","LBSPEC","LBSPEC","e843831a-9b6f-47b6-8b64-c6f941cbafc3","BiomedicalConceptProperty_148"
"","True","BiomedicalConceptProperty","True","LBFAST","LBFAST","44d8f5b3-fc6d-44f3-8997-9954c8d7b04e","BiomedicalConceptProperty_149"
"","True","BiomedicalConceptProperty","True","LBTESTCD","LBTESTCD","b915f8de-d4af-49b9-bb56-d881d924ce41","BiomedicalConceptProperty_150"
"float","True","BiomedicalConceptProperty","True","LBORRES","LBORRES","93c16c0f-ab33-4e8d-befe-f1c35ce07f94","BiomedicalConceptProperty_151"
"","True","BiomedicalConceptProperty","True","LBORRESU","LBORRESU","f5ea9b2a-07e7-4f84-a86d-e0beeeb4a8fe","BiomedicalConceptProperty_152"
"","True","BiomedicalConceptProperty","True","LBSPEC","LBSPEC","dbcfc40c-6211-44f4-9628-866d3dbb604f","BiomedicalConceptProperty_153"
"","True","BiomedicalConceptProperty","True","LBFAST","LBFAST","0e66b59c-7edf-4c29-9802-1db7be0e6eaf","BiomedicalConceptProperty_154"
"","True","BiomedicalConceptProperty","True","LBTESTCD","LBTESTCD","a4027dff-507a-4e73-b400-bc4d37c85b46","BiomedicalConceptProperty_155"
"float","True","BiomedicalConceptProperty","True","LBORRES","LBORRES","ece1fced-3805-4541-8a29-69ef93967755","BiomedicalConceptProperty_156"
"","True","BiomedicalConceptProperty","True","LBORRESU","LBORRESU","365b2af6-9201-4355-b9be-40453953e1f8","BiomedicalConceptProperty_157"
"","True","BiomedicalConceptProperty","True","LBSPEC","LBSPEC","228217b6-8656-4e17-9aa5-65d2cba693bf","BiomedicalConceptProperty_158"
"","True","BiomedicalConceptProperty","True","LBFAST","LBFAST","24c1ce31-750a-4e45-a2de-4679bfb4488e","BiomedicalConceptProperty_159"
"","True","BiomedicalConceptProperty","True","LBTESTCD","LBTESTCD","a5aca7fe-2c01-4de2-97a5-7f55053d9055","BiomedicalConceptProperty_160"
"float","True","BiomedicalConceptProperty","True","LBORRES","LBORRES","44b1c73f-0218-41e4-82cf-c0af183f4942","BiomedicalConceptProperty_161"
"","True","BiomedicalConceptProperty","True","LBORRESU","LBORRESU","1eef0d2a-11dd-4542-9985-f5e786b9306a","BiomedicalConceptProperty_162"
"","True","BiomedicalConceptProperty","True","LBSPEC","LBSPEC","47368239-1d83-4a7e-a5e7-f30dafb1fb3b","BiomedicalConceptProperty_163"
"","True","BiomedicalConceptProperty","True","LBFAST","LBFAST","0a8cd63f-4614-4fb7-8af6-8944827ca66d","BiomedicalConceptProperty_164"
"","True","BiomedicalConceptProperty","True","LBTESTCD","LBTESTCD","c54fa1f2-ee3a-4066-aee6-afdf234b0ea9","BiomedicalConceptProperty_165"
"float","True","BiomedicalConceptProperty","True","LBORRES","LBORRES","92cc56e4-aa2a-46d5-b732-68d285cea715","BiomedicalConceptProperty_166"
"","True","BiomedicalConceptProperty","True","LBORRESU","LBORRESU","8e4a1d78-4b50-444b-a7a0-f4111479c008","BiomedicalConceptProperty_167"
"","True","BiomedicalConceptProperty","True","LBSPEC","LBSPEC","b01fcadc-59a2-400c-9a44-84461942ad38","BiomedicalConceptProperty_168"
"","True","BiomedicalConceptProperty","True","LBFAST","LBFAST","fa222766-5adc-41e5-8a7c-d8d0a8b21095","BiomedicalConceptProperty_169"
"text","True","BiomedicalConceptProperty","True","AETERM","AETERM","920d824a-4e46-4604-b783-20ca6134d8ac","BiomedicalConceptProperty_1"
"text","True","BiomedicalConceptProperty","True","AEDECOD","AEDECOD","e793a968-f5f9-4255-9e24-501ba75a7186","BiomedicalConceptProperty_2"
"text","True","BiomedicalConceptProperty","True","AEPRESP","AEPRESP","a66274a3-d97d-4d4f-ab94-3d9030e3469f","BiomedicalConceptProperty_3"
"text","True","BiomedicalConceptProperty","True","AELOC","AELOC","81fd3b26-9e38-45f5-b40a-bdc9ac97b9a6","BiomedicalConceptProperty_4"
"text","True","BiomedicalConceptProperty","True","AESEV","AESEV","e0cb9326-db58-462e-aa66-835cd6478bcf","BiomedicalConceptProperty_5"
"text","True","BiomedicalConceptProperty","True","AESER","AESER","95d13d9e-e83b-4957-aac7-461f257f8ec9","BiomedicalConceptProperty_6"
"text","True","BiomedicalConceptProperty","True","AEACN","AEACN","ae71b7fa-34c2-43ac-be52-2b5b71a1d3ea","BiomedicalConceptProperty_7"
"text","True","BiomedicalConceptProperty","True","AEACNOTH","AEACNOTH","c8f37dd5-27bf-4a2f-af74-10f24377bb57","BiomedicalConceptProperty_8"
"text","True","BiomedicalConceptProperty","True","AEREL","AEREL","b352265f-2671-480d-8f5e-00473622bd4e","BiomedicalConceptProperty_9"
"text","True","BiomedicalConceptProperty","True","AERELNST","AERELNST","f1712444-2e2c-4fc5-8e36-6e12ffd9680c","BiomedicalConceptProperty_10"
"text","True","BiomedicalConceptProperty","True","AEPATT","AEPATT","168137e7-b45c-4080-b7ae-fbec852319de","BiomedicalConceptProperty_11"
"text","True","BiomedicalConceptProperty","True","AEOUT","AEOUT","776bed0e-d4c9-4a43-a1f9-c57f3a5d9f23","BiomedicalConceptProperty_12"
"text","True","BiomedicalConceptProperty","True","AESCAN","AESCAN","0785ec47-8414-406e-a290-8a29bae3c49c","BiomedicalConceptProperty_13"
"text","True","BiomedicalConceptProperty","True","AESCONG","AESCONG","9fcd1c88-040a-4c2c-a9d2-a5f9b4d84f3f","BiomedicalConceptProperty_14"
"text","True","BiomedicalConceptProperty","True","AESDISAB","AESDISAB","3885c566-6c5c-4695-9e78-abc6ad4500d1","BiomedicalConceptProperty_15"
"text","True","BiomedicalConceptProperty","True","AESDTH","AESDTH","9fdca91e-237d-4b16-a4e1-a8dafe0cb023","BiomedicalConceptProperty_16"
"text","True","BiomedicalConceptProperty","True","AESHOSP","AESHOSP","73e5159a-fdba-40cb-9243-f16d3b609761","BiomedicalConceptProperty_17"
"text","True","BiomedicalConceptProperty","True","AESLIFE","AESLIFE","96a98ffd-0d7c-45d7-a66f-4b03aca73289","BiomedicalConceptProperty_18"
"text","True","BiomedicalConceptProperty","True","AESOD","AESOD","486c4e08-c6ed-4744-b41f-2c695f17b55b","BiomedicalConceptProperty_19"
"text","True","BiomedicalConceptProperty","True","AESMIE","AESMIE","2a73855b-3c2b-4a35-9ba1-65680030b5a4","BiomedicalConceptProperty_20"
"text","True","BiomedicalConceptProperty","True","AECONTRT","AECONTRT","b30de023-9c7b-48d4-8cb0-0e6138caadd1","BiomedicalConceptProperty_21"
"datetime","True","BiomedicalConceptProperty","True","AESTDTC","AESTDTC","f0db0a08-e40f-4e28-b2e3-6422e6539d44","BiomedicalConceptProperty_22"
"datetime","True","BiomedicalConceptProperty","True","AEENDTC","AEENDTC","c70db3ed-074f-4793-bc8c-e000959797ff","BiomedicalConceptProperty_23"
