"instanceType","description","label","name","uuid:ID","id"
"SyntaxTemplateDictionary","Dictionary for IE","IE Dictionary","IE_Dict","770a1f82-72a9-4ea9-b111-5713e01bc576","SyntaxTemplateDictionary_1"
"SyntaxTemplateDictionary","Dictionary for Study Assessments","Assessment Dictionary","AS_Dict","fae34439-89f8-4eee-8d20-fa9ceace5041","SyntaxTemplateDictionary_2"
