"isApproximate","instanceType","maxValue","uuid:ID","minValue","id"
"False","Range","300.0","a86408f0-5e09-4124-8b65-5195ee08305e","300.0","Range_2"
"False","Range","300.0","aab9cac2-4f4f-4684-a20e-cf271deed940","300.0","Range_1"
"False","Range","100.0","cc6ab2f3-97bf-4b51-8644-f900d76b30e1","50.0","Range_3"
