"instanceType","name","uuid:ID","description","label","id","parameterMap"
"SyntaxTemplateDictionary","IE_Dict","ab2fa77b-bcca-469e-ad27-bf5e871fb1a8","Dictionary for IE","IE Dictionary","SyntaxTemplateDictionary_1","{'min_age': {'klass': 'Range', 'id': 'Range_3', 'attribute': 'maxValue'}, 'max_age': {'klass': 'Range', 'id': 'Range_3', 'attribute': 'minValue'}, 'StudyPopulation': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'description'}}"
"SyntaxTemplateDictionary","AS_Dict","751ccb91-1a7d-492f-8f33-454facfb4ce5","Dictionary for Study Assessments","Assessment Dictionary","SyntaxTemplateDictionary_2","{'Activity1': {'klass': 'Activity', 'id': 'Activity_6', 'attribute': 'label'}}"
