"id","uuid:ID","instanceType","otherReason"
"StudyAmendmentReason_1","c85cb710-4a9a-41dc-a025-26912105943f","StudyAmendmentReason",""
"StudyAmendmentReason_2","8880910c-0fa6-42a7-a841-2742bb9c55b4","StudyAmendmentReason","Fix typographical errors"
