"instanceType","dateValue","name","uuid:ID","description","label","id"
"GovernanceDate","2006-06-01","D_APPROVE","f4a5b857-6109-4710-bb10-cb92084139f7","Design approval date","Design Approval","GovernanceDate_1"
"GovernanceDate","2006-07-01","P_APPROVE","1643f143-b5b6-400f-a0e3-abd362fd8db9","Protocol document approval date","Protocol Approval","GovernanceDate_2"
