"id","label","instanceType","uuid:ID","description","name","parameterMap"
"SyntaxTemplateDictionary_1","IE Dictionary","SyntaxTemplateDictionary","8151276a-7c9d-41de-8e7f-a6292e912f1b","Dictionary for IE","IE_Dict","{'min_age': '<usdm:ref klass=""Range"" id=""Range_3"" attribute=""minValue""></usdm:ref>', 'max_age': '<usdm:ref klass=""Range"" id=""Range_3"" attribute=""maxValue""></usdm:ref>', 'StudyPopulation': '<usdm:ref klass=""StudyDesignPopulation"" id=""StudyDesignPopulation_1"" attribute=""description""></usdm:ref>'}"
"SyntaxTemplateDictionary_2","Assessment Dictionary","SyntaxTemplateDictionary","3e3789b2-8780-455d-b8b9-3f7326b7b9e7","Dictionary for Study Assessments","AS_Dict","{'Activity1': '<usdm:ref klass=""Activity"" id=""Activity_6"" attribute=""label""></usdm:ref>', 'Activity2': '<usdm:ref klass=""Activity"" id=""Activity_5"" attribute=""label""></usdm:ref>'}"
