"id","instanceType","maxValue","uuid:ID","isApproximate","minValue"
"Range_2","Range","300.0","66a48202-5f47-4b99-9969-72d7885b3c07","False","300.0"
"Range_1","Range","300.0","45aaf43e-d939-4f0d-922d-50f9f63569c6","False","300.0"
"Range_3","Range","100.0","814d3847-0081-4c3f-9a09-7635cbd8af36","False","50.0"
