"id","label","instanceType","uuid:ID","description","name"
"StudyEpoch_1","Screening","StudyEpoch","ad1cc056-3c8c-4051-8a11-cfe233f4178e","Screening Epoch","Screening"
"StudyEpoch_2","Treatment One","StudyEpoch","d1a253ab-6378-4c62-a22a-4af62b5a7f54","Treatment Epoch","Treatment 1"
"StudyEpoch_3","Treatment Two","StudyEpoch","f623449a-5b54-44ae-8943-97282eee429b","Treatment Epoch","Treatment 2"
"StudyEpoch_4","Treatment Three","StudyEpoch","972135e5-ac5b-4c3f-a9ad-f35c30111fe0","Treatment Epoch","Treatment 3"
"StudyEpoch_5","Follow Up","StudyEpoch","82b79486-1966-4a24-8e65-9bc0bb77b391","Follow-up Epoch","Follow-Up"
