"responseCodeEnabled","id","uuid:ID"
"True","ResponseCode_17","973608b2-a680-48c2-a334-4a48096e17c8"
"True","ResponseCode_18","369e6b87-184f-460b-90d5-8e2c1d69b42c"
"True","ResponseCode_19","61c6106c-8499-465e-b320-313e1a8459b6"
"True","ResponseCode_20","fe153715-7d5b-4ed0-a6c3-d47df0fab010"
"True","ResponseCode_21","0c218c8c-7007-456f-9968-0e88d3d52f24"
"True","ResponseCode_22","dc734bc6-5841-4f2c-a107-c82ad3416180"
"True","ResponseCode_23","c84331e1-949a-4876-b73f-c71edc60a30c"
"True","ResponseCode_24","e04797a0-1d95-4ac5-a29f-f4a545ce4f56"
"True","ResponseCode_1","212c38e1-f10e-44f5-8b66-35001b1695b8"
"True","ResponseCode_2","f6e8ba1a-2f13-4b2e-98cb-01e254449871"
"True","ResponseCode_3","e32133b1-861b-45fd-8f8a-d70109593a0c"
"True","ResponseCode_4","5a1ca257-00e0-4a01-849d-c212d138ed7a"
"True","ResponseCode_5","6ac154e7-2872-4a5e-9507-e707322c846c"
"True","ResponseCode_6","8ca3aa3d-d6cf-4d32-be54-e65af15ef99f"
"True","ResponseCode_7","88008ee1-fb57-4853-a221-39ad8f09d8d2"
"True","ResponseCode_8","dddb4c2f-8ce3-4f28-b86e-f82609d26a9c"
"True","ResponseCode_9","0c115e6c-0202-461d-a2af-6c120653f5cb"
"True","ResponseCode_10","8602c7a6-a44d-4077-8dba-5e359e14684d"
"True","ResponseCode_11","6ba9a6a9-125c-45d1-9757-3d6d710c3de5"
"True","ResponseCode_12","6886b2bc-b10d-474b-8fb4-91d6952d6d1c"
"True","ResponseCode_13","3a3baa26-2117-4165-acd9-93ec79704844"
"True","ResponseCode_14","7dc67a63-3b0b-411d-b978-1196dca22186"
"True","ResponseCode_15","a12360ee-5fd9-4b5d-a7be-fc15b239d82c"
"True","ResponseCode_16","c3c4724b-7c31-46ac-9993-a7ad6291e33a"
