"label","name","id","uuid:ID","description","dateValue"
"Design Approval","Approval","GovernanceDate_1","b3ee9fb1-b523-47d4-a088-5c4c60eb56c7","Design approval date","2006-07-01"
"Protocol Approval","Approval","GovernanceDate_2","007ae716-c5f8-4f53-9082-070db8208107","Protocol document approval date","2006-07-01"
