"standardCodeAliases","id","uuid:ID"
"[]","AliasCode_1","7b037791-7fd7-43c4-b45b-811762589669"
"[]","AliasCode_3","436a46dd-9757-4e90-99b5-f8cc2521dade"
"[]","AliasCode_4","02510359-8c0a-4fce-bbe2-8bb2fc5ea72d"
"[]","AliasCode_109","9d368cfc-239f-4ebf-8a99-88a027db5aee"
"[]","AliasCode_110","c46a7aaa-ff0f-4986-8c3b-64445f405e38"
"[]","AliasCode_111","8641933e-03b2-4bcd-9938-6e9af19dcef7"
"[]","AliasCode_108","38a84f34-fbfe-4c24-9066-028494ae8b13"
"[]","AliasCode_113","8e88c348-98f4-493e-b20a-2e5aa3dc9765"
"[]","AliasCode_114","b4d20f51-c6ae-429c-97d7-db97d9bc8902"
"[]","AliasCode_112","e15fd663-4b19-4a27-9bd7-5e6375475e4b"
"[]","AliasCode_116","495da7eb-d7f9-4e73-bbbd-2c0228f21497"
"[]","AliasCode_117","0bb76dde-e1f5-4512-af21-24eb208b8607"
"[]","AliasCode_115","9e0765d4-a095-4075-be3e-826369969e6c"
"[]","AliasCode_119","f3c6ea90-4088-45d2-a64a-8938a0151998"
"[]","AliasCode_120","bc35cb2b-cfda-443d-b985-30cb222e06f1"
"[]","AliasCode_121","55048c21-a6d4-47b0-bc02-f1a2c0020da1"
"[]","AliasCode_122","39693959-9a16-48f5-ae4d-532a14d4995a"
"[]","AliasCode_118","3606fa86-af9a-4e8e-a07a-2469f0b20458"
"[]","AliasCode_124","23d86d29-9c3d-4351-8042-c94e88100156"
"[]","AliasCode_125","ccd948ee-1930-48b9-a6fc-a4624d8b27f9"
"[]","AliasCode_126","872ee555-096d-431d-b5ac-52b07bb2dfeb"
"[]","AliasCode_127","4e200b50-0861-42fd-a57f-b9263197a05d"
"[]","AliasCode_123","d5966588-a9e5-403a-b4a2-03b0a4b3217e"
"[]","AliasCode_129","5d170e27-da1c-4008-8df9-ac62cf5f1e3f"
"[]","AliasCode_130","b3c80ad5-def5-4f24-8a2a-58e064821706"
