"parameterMap","label","name","id","text","description","uuid:ID"
"{'min_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMinimumAgeOfParticipants'}, 'max_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMaximumAgeOfParticipants'}, 'StudyPopulation': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'populationDescription'}}","IE Dictionary","IE_Dict","SyntaxTemplateDictionary_1","","Dictionary for IE","3c9707b8-ad6e-4bd0-8bef-7c556ac451d6"
"{'Activity1': {'klass': 'Activity', 'id': 'Activity_6', 'attribute': 'label'}}","Assessment Dictionary","AS_Dict","SyntaxTemplateDictionary_2","","Dictionary for Study Assessments","6a80a780-659f-4593-9a4f-6d834e8b985a"
