"uuid:ID","isApproximate","minValue","id","maxValue","instanceType"
"66e3373d-ecf0-4f64-ab84-a91480798428","False","300.0","Range_2","300.0","Range"
"6e5b9548-bf6d-495f-8189-5973974df479","False","300.0","Range_1","300.0","Range"
"5477366e-6b1d-4b50-96b1-c240b0d59815","False","50.0","Range_3","100.0","Range"
