"uuid:ID","instanceType","otherReason","id"
"b0b42033-f5e6-4f47-b22e-69479777a7c5","StudyAmendmentReason","","StudyAmendmentReason_1"
"86172e64-d20d-4c7f-a222-818ea89f59f5","StudyAmendmentReason","Fix typographical errors","StudyAmendmentReason_2"
