"responseCodeEnabled","id","uuid:ID"
"True","ResponseCode_17","fadf3679-ee5a-4b8b-85e3-6e6a053bb645"
"True","ResponseCode_18","2c952472-0ad8-41a6-8c50-e601524b751b"
"True","ResponseCode_19","56e34734-b261-40f6-b687-02cb5c1d2f26"
"True","ResponseCode_20","45227def-ba10-48ac-acd4-14cf58ada60e"
"True","ResponseCode_21","729f479b-7bda-4329-96da-5002d7183f4e"
"True","ResponseCode_22","8d86c957-57e4-4e6e-9191-d87edf305d72"
"True","ResponseCode_23","1e2f11f9-9261-4943-a1e6-919f9fd73cef"
"True","ResponseCode_24","80ca04ac-fccd-4da7-b4c4-3934e8aa765b"
"True","ResponseCode_1","fed1b4a0-c090-4d3c-82f0-6dce0e508d79"
"True","ResponseCode_2","aa868c3b-7055-4d14-bb43-f122fbe4b23f"
"True","ResponseCode_3","c7fde974-33d7-4c2c-9f60-555cf285330b"
"True","ResponseCode_4","7eeb76a0-3e41-4a8f-8434-1b4499a51c7e"
"True","ResponseCode_5","09ffe3e0-63ad-4853-a338-97b2323db9d7"
"True","ResponseCode_6","2b3ea6d8-02f3-4234-8361-c1a18d10df60"
"True","ResponseCode_7","dda33de2-7744-49a7-82a1-2b027e605131"
"True","ResponseCode_8","dd5c57c4-e480-43fa-a97d-6e5e06fa2492"
"True","ResponseCode_9","da1a23f6-07cf-4692-a409-de5e591eda29"
"True","ResponseCode_10","5bd0378e-82d3-44ed-bfba-68a1020a6e55"
"True","ResponseCode_11","85b2267e-e632-4ab9-a7bc-a5acfd028c5d"
"True","ResponseCode_12","1f0f08f3-b191-42d5-8b06-baa83a6f3516"
"True","ResponseCode_13","0e56fdb5-7d95-4b3d-b420-60a7ec19c4b9"
"True","ResponseCode_14","b8cd7c62-56d4-4dbd-80a0-affb6bb6d9b8"
"True","ResponseCode_15","b6e06114-58ed-4149-827d-1394e4f45d07"
"True","ResponseCode_16","0ad2b84b-a4bf-4fed-bf13-cd8f4e649b50"
