"uuid:ID","name","label","id","dateValue","description"
"7e1daa41-20f6-4f0b-8c92-7b2a59c85563","Approval","Design Approval","GovernanceDate_1","2006-07-01","Design approval date"
"232a70fd-9817-4b65-bd8d-498fa4eda30f","Approval","Protocol Approval","GovernanceDate_2","2006-07-01","Protocol document approval date"
