"minValue","uuid:ID","id","isApproximate","maxValue"
"300.0","68f86be1-0b7a-4db8-9bac-a4d9b0fed6b6","Range_2","False","300.0"
"300.0","7317a212-00d2-4c62-9bb5-29b39bcfe206","Range_1","False","300.0"
