"uuid:ID","id","isEnabled"
"451f9427-0b85-47be-a54c-61f3258528ca","ResponseCode_16","True"
"99a38ecd-a517-467b-89a1-f5d4a6ca5a60","ResponseCode_17","True"
"f6424e35-c5aa-4d0b-ae4b-8e4f324c6ffe","ResponseCode_18","True"
"a71c632b-e591-4afe-9ad1-b6c321c8cbd9","ResponseCode_19","True"
"f57f2303-8df7-4d1d-8abe-717b9e5c6dd3","ResponseCode_20","True"
"f68eadff-0b8b-4b03-b384-bedba8e45572","ResponseCode_21","True"
"a3ad73d7-6f76-4215-8970-1d1bf8e929c6","ResponseCode_22","True"
"34bd8ee3-351b-4bf5-b48f-6e99fabb169b","ResponseCode_23","True"
"e3853e39-ccfc-482e-8210-a8874a25b17d","ResponseCode_1","True"
"dbb0d619-d5f1-4f82-9334-509076c7e0a8","ResponseCode_2","True"
"43b3e6e2-1c73-4c19-916d-67483ffa5496","ResponseCode_3","True"
"4485a457-3ee5-4a44-a2bf-cf3c23cbcf57","ResponseCode_4","True"
"ee6e8e9a-5acc-45d3-a072-876f5b9c388d","ResponseCode_5","True"
"13c61654-df37-4cb5-83ab-c1bee88138d0","ResponseCode_6","True"
"0631786d-00f0-4927-a36f-7a1ad3d3fc0e","ResponseCode_7","True"
"df60261f-3ad6-4913-b201-fd3bb096759d","ResponseCode_8","True"
"a69c711b-9682-49ae-bec1-fa685e62d2af","ResponseCode_9","True"
"db7a2a0c-56bb-48cc-b0c2-2e4c0f1f1a04","ResponseCode_10","True"
"b65a04ad-ff6e-471e-994c-7a2a80486071","ResponseCode_11","True"
"34b15a5d-3007-45bc-8567-6ed1c8729a70","ResponseCode_12","True"
"efdb4d5a-dd64-4e7d-809d-198106d05253","ResponseCode_13","True"
"777155f6-dc60-4076-a04c-aa677e10b32a","ResponseCode_14","True"
"2774dfa6-154f-4072-b1d7-e8065ce2c395","ResponseCode_15","True"
