"dateValue","uuid:ID","id","label","description","name"
"2006-06-01","35b6477f-e6f9-4a87-bb2a-10b632591d8e","GovernanceDate_1","Design Approval","Design approval date","D_APPROVE"
"2006-07-01","54c3bd24-6ec4-4c89-b3d6-b6c1f709c785","GovernanceDate_2","Protocol Approval","Protocol document approval date","P_APPROVE"
