"instanceType","id","otherReason","uuid:ID"
"StudyAmendmentReason","StudyAmendmentReason_1","","31b51a77-22e1-42f5-92ae-09c8e5d7ac40"
"StudyAmendmentReason","StudyAmendmentReason_2","Fix typographical errors","118c544d-4639-4254-9a06-03b0c59e894a"
