"instanceType","uuid:ID","isApproximate","minValue","id","maxValue"
"Range","1ac95168-0611-40d9-ba54-111776003327","False","300.0","Range_2","300.0"
"Range","bbee7e86-59c3-44e6-89a9-345f517d64c6","False","300.0","Range_1","300.0"
"Range","908bed9d-3b96-4267-a09e-59d5e27cd855","False","50.0","Range_3","100.0"
