"uuid:ID","instanceType","otherReason","id"
"28093a0a-81a1-451b-9d30-c3194ac190fe","StudyAmendmentReason","","StudyAmendmentReason_1"
"33232254-a601-4763-bd34-4e8e7edfad80","StudyAmendmentReason","Fix typographical errors","StudyAmendmentReason_2"
