"uuid:ID","name","label","description","instanceType","id"
"352b3a5f-ce2d-4240-b9d3-687d33ca39f4","Screening","Screening","Screening Epoch","StudyEpoch","StudyEpoch_1"
"f945b0d1-abdf-45cc-82e7-246eee8c9b71","Treatment 1","Treatment One","Treatment Epoch","StudyEpoch","StudyEpoch_2"
"2b99da7d-7607-469a-8d11-ada1c15779e9","Treatment 2","Treatment Two","Treatment Epoch","StudyEpoch","StudyEpoch_3"
"73f97d3d-2cf9-47b9-839a-c3c7de268ec7","Treatment 3","Treatment Three","Treatment Epoch","StudyEpoch","StudyEpoch_4"
"51131816-5384-4b1c-bc12-32f2e6dd3c67","Follow-Up","Follow Up","Follow-up Epoch","StudyEpoch","StudyEpoch_5"
