"uuid:ID","datatype","isEnabled","isRequired","name","label","instanceType","id"
"147559b2-9ee8-4fbf-bf8c-95f6f09c5343","text","True","True","DSDECOD","DSDECOD","BiomedicalConceptProperty","BiomedicalConceptProperty_116"
"57aeefc9-aec6-46f0-9005-523171349f52","text","True","True","DSTERM","DSTERM","BiomedicalConceptProperty","BiomedicalConceptProperty_117"
"7d60d392-0630-4b90-adb0-fd73e55f0fa2","datetime","True","True","DSSTDTC","DSSTDTC","BiomedicalConceptProperty","BiomedicalConceptProperty_118"
"0fc170c8-b167-4de1-92fa-5baee4c4e68b","string","True","True","Sex","Sex","BiomedicalConceptProperty","BiomedicalConceptProperty_119"
"47267a5e-e003-4076-b7f2-eb17f91e7611","string","True","True","Race","Race","BiomedicalConceptProperty","BiomedicalConceptProperty_120"
"1fc2a3b0-6c5a-40f8-b325-8f38bb6fc697","","True","True","VSTESTCD","VSTESTCD","BiomedicalConceptProperty","BiomedicalConceptProperty_121"
"5f78f9e4-b120-4197-a1e3-23fcccd647bb","float","True","True","VSORRES","VSORRES","BiomedicalConceptProperty","BiomedicalConceptProperty_122"
"b6e23628-5bfc-4a38-96f7-23fb7b0d5cd0","","True","True","VSORRESU","VSORRESU","BiomedicalConceptProperty","BiomedicalConceptProperty_123"
"5847eb5a-a392-4a33-8c7c-d9bbad923ba5","","True","True","VSLOC","VSLOC","BiomedicalConceptProperty","BiomedicalConceptProperty_124"
"82c9a7c8-e113-4b0c-a016-5e209a90277a","","True","True","VSTESTCD","VSTESTCD","BiomedicalConceptProperty","BiomedicalConceptProperty_125"
"fdbfdd70-0091-4837-84ae-5f53375be8cd","float","True","True","VSORRES","VSORRES","BiomedicalConceptProperty","BiomedicalConceptProperty_126"
"6aa799c9-5406-4989-bc04-f1df83e2087f","","True","True","VSORRESU","VSORRESU","BiomedicalConceptProperty","BiomedicalConceptProperty_127"
"133ac532-6176-4b63-bcc5-c14e4425382f","","True","True","VSTESTCD","VSTESTCD","BiomedicalConceptProperty","BiomedicalConceptProperty_128"
"5ab0d01c-8f17-4711-9eb9-2b8fe9c27f16","float","True","True","VSORRES","VSORRES","BiomedicalConceptProperty","BiomedicalConceptProperty_129"
"791fa22f-a8e3-4581-a4b1-2506aa21fbb6","","True","True","VSORRESU","VSORRESU","BiomedicalConceptProperty","BiomedicalConceptProperty_130"
