"uuid:ID","maxValue","minValue","id","isApproximate"
"39e001a1-f3f7-4b75-a35d-727bafee1c8d","120.0","120.0","Range_2","False"
"b7cc3377-445e-4060-b736-4863530b22ce","100.0","100.0","Range_1","False"
