"name","uuid:ID","description","studyArmDataOriginDescription","label","id"
"Active","107f50a4-1753-40e8-93fd-08d15c05d53f","Active Substance","Data collected from subjects","","StudyArm_1"
"Placebo","49742f0f-bf0e-4dd4-9c54-e7a20021a70f","Placebo","Data collected from subjects","","StudyArm_2"
