"codeSystem","uuid:ID","id","decode","code","codeSystemVersion"
"http://www.cdisc.org","09652cb2-1880-4997-8f61-4c9539325c93","Code_1","Interventional Study","C98388","2023-09-29"
"http://www.cdisc.org","3197135a-46c6-4e0b-bc3a-d288877be964","Code_2","Phase III Trial","C15602","2023-09-29"
"http://www.cdisc.org","f415c99d-b3c4-4966-9672-1f3d995a3763","Code_6","Sponsor Approval Date","C132352","2023-09-29"
"http://www.cdisc.org","927d64dd-6647-4ae2-ad21-fa3cf0e47643","Code_7","Global","C68846","2023-09-29"
"SPONSOR","621c3b1a-3895-4a47-a34b-b688a1f5820c","Code_3","Vacines Group","VAC","12"
"SPONSOR","77803835-84a4-46bf-89ab-c29b8c28b929","Code_4","Regulatory","REG","12"
"http://www.cdisc.org","f78afcd4-c94e-44e0-a073-950e3df98712","Code_10","Study Registry","C93453","2023-09-29"
"ISO 3166 1 alpha3","caa4a684-b65d-418f-a707-b999a8ff0c9c","Code_11","United Kingdom of Great Britain and Northern Ireland","GBR","2020-08"
"http://www.cdisc.org","ddfdc15f-b082-4111-90dd-8ee05e024abb","Code_12","Clinical Study Sponsor","C70793","2023-09-29"
"ISO 3166 1 alpha3","499a1218-0002-4f46-9231-fe75d383d70a","Code_13","France","FRA","2020-08"
"http://www.cdisc.org","eeb2d389-a0fd-40f6-bf16-06cfe21602d8","Code_42","Basic Research","C15714","2023-09-29"
"http://www.cdisc.org","21f07b9b-b5a5-41b7-8e25-f1f400823b44","Code_43","Device Feasibility Study","C139174","2023-09-29"
"http://www.cdisc.org","dea5c1e2-090b-4214-934b-3ccb8a71fc99","Code_44","Efficacy Study","C49666","2023-09-29"
"SPONSOR","882edecf-9e08-4253-adb3-d9018301576d","Code_39","Type 2 diabetes","T2_DIABETES","12"
"SNOMED","4b81a67c-9fdb-4d05-8f19-3543a018b0ab","Code_40","Diabetes mellitus (disorder)","73211009","January 31, 2018"
"http://www.cdisc.org","1736653f-c37b-45ef-ae70-1213a3d9aca8","Code_45","Parallel Study","C82639","2023-09-29"
"http://www.cdisc.org","88102f0a-2fd9-4441-a9f3-b7a0ea6f5287","Code_16","Visit","C25716","2023-09-29"
"http://www.cdisc.org","89035039-2b31-412d-9fe1-f5a40b955b4e","Code_17","Clinic","C51282","2023-09-29"
"http://www.cdisc.org","7926ac35-02f1-4f75-9a98-497e7282d1c2","Code_18","In Person","C175574","2023-09-29"
"http://www.cdisc.org","fe74db63-6279-4657-8fd5-cd78e6f3644f","Code_19","Visit","C25716","2023-09-29"
"http://www.cdisc.org","888428e6-398e-44fe-8a5d-255a4042a552","Code_20","Clinic","C51282","2023-09-29"
"http://www.cdisc.org","2f31f8e3-d70d-4ddd-b427-697ddb8382b6","Code_21","In Person","C175574","2023-09-29"
"http://www.cdisc.org","124f3db3-54be-4d95-9577-8cfefcf436cd","Code_22","Visit","C25716","2023-09-29"
"http://www.cdisc.org","35e3ece2-aef9-4f11-9f9f-9036c794cdb8","Code_23","Clinic","C51282","2023-09-29"
"http://www.cdisc.org","1a1903ee-204a-44a6-b4fd-3c40c0abc4c4","Code_24","In Person","C175574","2023-09-29"
"http://www.cdisc.org","fa47e31b-6670-4e39-8a58-d29f72808db2","Code_25","Visit","C25716","2023-09-29"
