"name","isRequired","uuid:ID","instanceType","id","isEnabled","datatype","label"
"DSDECOD","True","767b1400-7377-4331-9735-b4836a6bc410","BiomedicalConceptProperty","BiomedicalConceptProperty_116","True","text","DSDECOD"
"DSTERM","True","979bcb79-7a14-43fe-b118-347ad9f2debb","BiomedicalConceptProperty","BiomedicalConceptProperty_117","True","text","DSTERM"
"DSSTDTC","True","021b7a44-b76b-4881-9814-98790edd0cfe","BiomedicalConceptProperty","BiomedicalConceptProperty_118","True","datetime","DSSTDTC"
"Sex","True","ffd57480-9f90-47c0-9f72-882aab51a8db","BiomedicalConceptProperty","BiomedicalConceptProperty_119","True","string","Sex"
"Race","True","9774e6bf-8de5-4e70-8c48-83c5901ae130","BiomedicalConceptProperty","BiomedicalConceptProperty_120","True","string","Race"
"VSTESTCD","True","82f1021a-94c5-4cda-944b-49c8f59d9fc5","BiomedicalConceptProperty","BiomedicalConceptProperty_121","True","","VSTESTCD"
"VSORRES","True","70c39e24-59fd-4630-837c-00dfdb4d70d1","BiomedicalConceptProperty","BiomedicalConceptProperty_122","True","float","VSORRES"
"VSORRESU","True","2c92e724-2287-4e3e-9a42-3fb5358312d0","BiomedicalConceptProperty","BiomedicalConceptProperty_123","True","","VSORRESU"
"VSLOC","True","91eb9ef2-e129-421f-babb-c6e1c1f0e888","BiomedicalConceptProperty","BiomedicalConceptProperty_124","True","","VSLOC"
"VSTESTCD","True","a8b8c363-ffc6-4401-9cef-2e2a7b00c816","BiomedicalConceptProperty","BiomedicalConceptProperty_125","True","","VSTESTCD"
"VSORRES","True","26afd459-de69-45c4-855b-44ca46d5529c","BiomedicalConceptProperty","BiomedicalConceptProperty_126","True","float","VSORRES"
"VSORRESU","True","57be7acb-94c2-4f82-be43-b0a218f06f14","BiomedicalConceptProperty","BiomedicalConceptProperty_127","True","","VSORRESU"
"VSTESTCD","True","fef0ae53-8045-4840-bec8-7c785222a291","BiomedicalConceptProperty","BiomedicalConceptProperty_128","True","","VSTESTCD"
"VSORRES","True","deb17204-e8d3-4813-8442-3d2309bc5b93","BiomedicalConceptProperty","BiomedicalConceptProperty_129","True","float","VSORRES"
"VSORRESU","True","2a8416de-3aef-4dec-bc35-cde13bfab116","BiomedicalConceptProperty","BiomedicalConceptProperty_130","True","","VSORRESU"
"LBTESTCD","True","a71026af-ff47-4554-abf0-bb3fce417a98","BiomedicalConceptProperty","BiomedicalConceptProperty_131","True","","LBTESTCD"
"LBORRES","True","1e1f719b-eedb-4069-9cd0-372b47d00f29","BiomedicalConceptProperty","BiomedicalConceptProperty_132","True","float","LBORRES"
"LBORRESU","True","fd862eb7-2246-4188-ad02-8f34763dd5f2","BiomedicalConceptProperty","BiomedicalConceptProperty_133","True","","LBORRESU"
"LBSPEC","True","09c622b7-7323-4c6b-b9ab-b0334d5fa63c","BiomedicalConceptProperty","BiomedicalConceptProperty_134","True","","LBSPEC"
"LBFAST","True","5ed0a176-c6f3-4cae-a867-9b054a349828","BiomedicalConceptProperty","BiomedicalConceptProperty_135","True","","LBFAST"
"LBTESTCD","True","62d40d0c-9e20-469b-9c55-1f5341d2b838","BiomedicalConceptProperty","BiomedicalConceptProperty_136","True","","LBTESTCD"
"LBORRES","True","5714bb7d-a91b-481f-98ad-993b18f61086","BiomedicalConceptProperty","BiomedicalConceptProperty_137","True","text","LBORRES"
"LBSPEC","True","413be915-f674-48da-8f58-d9e492b3cdb4","BiomedicalConceptProperty","BiomedicalConceptProperty_138","True","","LBSPEC"
"LBFAST","True","71948ea6-d169-4a3a-bf8a-2a74a586068e","BiomedicalConceptProperty","BiomedicalConceptProperty_139","True","","LBFAST"
"LBTESTCD","True","b0c4043d-93df-4e2c-af40-9357101ad66c","BiomedicalConceptProperty","BiomedicalConceptProperty_140","True","","LBTESTCD"
"LBORRES","True","c3701532-7a23-41e1-b0c6-abe7c44bb841","BiomedicalConceptProperty","BiomedicalConceptProperty_141","True","float","LBORRES"
"LBORRESU","True","65100840-691e-49fe-9571-9f8bbc64f5d8","BiomedicalConceptProperty","BiomedicalConceptProperty_142","True","","LBORRESU"
"LBSPEC","True","84b97dcb-5b6f-4f2b-9cc8-f25819bf8d48","BiomedicalConceptProperty","BiomedicalConceptProperty_143","True","","LBSPEC"
"LBFAST","True","8e6af4c7-589e-4ebd-b06c-e98bb971876b","BiomedicalConceptProperty","BiomedicalConceptProperty_144","True","","LBFAST"
"LBTESTCD","True","a6d7766c-a657-4197-90c5-9d738669e47f","BiomedicalConceptProperty","BiomedicalConceptProperty_145","True","","LBTESTCD"
"LBORRES","True","d13bf442-3cf9-4b3b-838e-e06ac170f43d","BiomedicalConceptProperty","BiomedicalConceptProperty_146","True","float","LBORRES"
"LBORRESU","True","a15edab9-7441-4a6d-b674-9888e21ed72e","BiomedicalConceptProperty","BiomedicalConceptProperty_147","True","","LBORRESU"
"LBSPEC","True","56b15549-6350-4adc-a573-5b3e4dfd6d11","BiomedicalConceptProperty","BiomedicalConceptProperty_148","True","","LBSPEC"
"LBFAST","True","59bb9cb3-542b-4186-8f92-8a89523dad27","BiomedicalConceptProperty","BiomedicalConceptProperty_149","True","","LBFAST"
"LBTESTCD","True","1c847154-4946-4bec-96f9-b332bc8510d1","BiomedicalConceptProperty","BiomedicalConceptProperty_150","True","","LBTESTCD"
"LBORRES","True","951f7801-96e0-4237-b277-ab2c42511dff","BiomedicalConceptProperty","BiomedicalConceptProperty_151","True","float","LBORRES"
"LBORRESU","True","6ec8834a-94f7-43b9-bc44-582a001d8a95","BiomedicalConceptProperty","BiomedicalConceptProperty_152","True","","LBORRESU"
"LBSPEC","True","c6ff66f9-d31f-4cd4-9c8e-a2c0101bcad8","BiomedicalConceptProperty","BiomedicalConceptProperty_153","True","","LBSPEC"
"LBFAST","True","6daad8cc-73bf-4588-bb5d-9bbba36941d0","BiomedicalConceptProperty","BiomedicalConceptProperty_154","True","","LBFAST"
"LBTESTCD","True","77782ac7-b6ce-4c48-814e-bcee05b6dd15","BiomedicalConceptProperty","BiomedicalConceptProperty_155","True","","LBTESTCD"
"LBORRES","True","708ca9ab-fe86-42f9-8d6e-ddd5e3cd51ff","BiomedicalConceptProperty","BiomedicalConceptProperty_156","True","float","LBORRES"
"LBORRESU","True","54aef53d-4684-4c02-bd61-965e6ef1a2a0","BiomedicalConceptProperty","BiomedicalConceptProperty_157","True","","LBORRESU"
"LBSPEC","True","d9f1fc58-685d-4787-9576-20a13ef6d128","BiomedicalConceptProperty","BiomedicalConceptProperty_158","True","","LBSPEC"
"LBFAST","True","e5f5c351-5864-4265-887f-ac7fd9007fbd","BiomedicalConceptProperty","BiomedicalConceptProperty_159","True","","LBFAST"
"LBTESTCD","True","f03c683b-5df6-49b3-9f5a-e64162e0e348","BiomedicalConceptProperty","BiomedicalConceptProperty_160","True","","LBTESTCD"
"LBORRES","True","1e9f8ff5-41ef-4ffb-91f8-a69495934575","BiomedicalConceptProperty","BiomedicalConceptProperty_161","True","float","LBORRES"
"LBORRESU","True","82e4830c-3b05-49bc-be67-4d0e7cdb7614","BiomedicalConceptProperty","BiomedicalConceptProperty_162","True","","LBORRESU"
"LBSPEC","True","92b4f577-d14f-490a-82b0-419ab5ef4c80","BiomedicalConceptProperty","BiomedicalConceptProperty_163","True","","LBSPEC"
"LBFAST","True","bbf039e2-6527-46a4-85ad-81706851a8b6","BiomedicalConceptProperty","BiomedicalConceptProperty_164","True","","LBFAST"
"LBTESTCD","True","d35d8637-325c-4cea-80cf-3a4d771221c1","BiomedicalConceptProperty","BiomedicalConceptProperty_165","True","","LBTESTCD"
"LBORRES","True","b290023c-e1f8-4778-a45f-005f67518af3","BiomedicalConceptProperty","BiomedicalConceptProperty_166","True","float","LBORRES"
"LBORRESU","True","e0466cc0-f6cf-46fd-b0e1-83fe1d2708f7","BiomedicalConceptProperty","BiomedicalConceptProperty_167","True","","LBORRESU"
"LBSPEC","True","d45685c6-a61c-4445-b214-99564f0cd676","BiomedicalConceptProperty","BiomedicalConceptProperty_168","True","","LBSPEC"
"LBFAST","True","eaca1275-dfe5-48fd-a4a4-5b0ae736577c","BiomedicalConceptProperty","BiomedicalConceptProperty_169","True","","LBFAST"
"AETERM","True","c8760741-90f0-422b-a184-d1badb5c8332","BiomedicalConceptProperty","BiomedicalConceptProperty_1","True","text","AETERM"
"AEDECOD","True","5a9e69fd-f909-4d1a-be34-50734a48bfbe","BiomedicalConceptProperty","BiomedicalConceptProperty_2","True","text","AEDECOD"
"AEPRESP","True","70f3ddc5-9d7c-417f-b5d3-b88eea7883f5","BiomedicalConceptProperty","BiomedicalConceptProperty_3","True","text","AEPRESP"
"AELOC","True","e9f6e80b-f105-4ae8-8024-c680c3157918","BiomedicalConceptProperty","BiomedicalConceptProperty_4","True","text","AELOC"
"AESEV","True","f2d88138-ec29-4cb8-b119-b789da2a82fc","BiomedicalConceptProperty","BiomedicalConceptProperty_5","True","text","AESEV"
"AESER","True","eb4df445-6a78-47eb-96c5-00caa9956ec2","BiomedicalConceptProperty","BiomedicalConceptProperty_6","True","text","AESER"
"AEACN","True","45ea4fd8-668b-4b68-a84b-d6bad8636c74","BiomedicalConceptProperty","BiomedicalConceptProperty_7","True","text","AEACN"
"AEACNOTH","True","324a4b27-b303-419c-b7b0-5ae3c7f2a29b","BiomedicalConceptProperty","BiomedicalConceptProperty_8","True","text","AEACNOTH"
"AEREL","True","63b1c17f-857c-4417-ad64-5063712dc1cb","BiomedicalConceptProperty","BiomedicalConceptProperty_9","True","text","AEREL"
"AERELNST","True","11b82b93-c9e9-4924-bb86-539fad01348a","BiomedicalConceptProperty","BiomedicalConceptProperty_10","True","text","AERELNST"
"AEPATT","True","7d8f9351-e51f-45e6-b29c-5d69bbe4c6de","BiomedicalConceptProperty","BiomedicalConceptProperty_11","True","text","AEPATT"
"AEOUT","True","8a0afe3e-8e2b-4af7-8789-ee41196a6cd9","BiomedicalConceptProperty","BiomedicalConceptProperty_12","True","text","AEOUT"
"AESCAN","True","58fbfa3a-4d7a-4325-9c7c-f207d57c40c2","BiomedicalConceptProperty","BiomedicalConceptProperty_13","True","text","AESCAN"
"AESCONG","True","306d6357-2eaf-4586-bca7-d11653b28673","BiomedicalConceptProperty","BiomedicalConceptProperty_14","True","text","AESCONG"
"AESDISAB","True","f0dd1af2-93c7-454c-b28f-6f10e787929d","BiomedicalConceptProperty","BiomedicalConceptProperty_15","True","text","AESDISAB"
"AESDTH","True","c7316cb0-3743-49b6-9067-bb9512c0c595","BiomedicalConceptProperty","BiomedicalConceptProperty_16","True","text","AESDTH"
"AESHOSP","True","530a15ac-fd81-4042-ad1d-e7d10f6ccff4","BiomedicalConceptProperty","BiomedicalConceptProperty_17","True","text","AESHOSP"
"AESLIFE","True","7479b92c-bf0c-4c86-94eb-00a1f8180d94","BiomedicalConceptProperty","BiomedicalConceptProperty_18","True","text","AESLIFE"
"AESOD","True","a637b0c5-15f5-47e6-aa5c-96425c5410f5","BiomedicalConceptProperty","BiomedicalConceptProperty_19","True","text","AESOD"
"AESMIE","True","dc6baea1-dd9e-470f-98eb-c7f1da35b7fc","BiomedicalConceptProperty","BiomedicalConceptProperty_20","True","text","AESMIE"
"AECONTRT","True","6ec3190e-346a-41b5-a499-b6c3c3548eea","BiomedicalConceptProperty","BiomedicalConceptProperty_21","True","text","AECONTRT"
"AESTDTC","True","4493d076-0ac2-40f9-b725-9b44a46f0b76","BiomedicalConceptProperty","BiomedicalConceptProperty_22","True","datetime","AESTDTC"
"AEENDTC","True","cfd7300f-82d3-4d55-93bc-7ba2ac1784b7","BiomedicalConceptProperty","BiomedicalConceptProperty_23","True","datetime","AEENDTC"
"VSTESTCD","True","0ec8df75-d48e-47a8-b6b7-bfbe6d1785cb","BiomedicalConceptProperty","BiomedicalConceptProperty_24","True","","VSTESTCD"
"VSORRES","True","243fcc08-c3c5-4110-b7c8-4463ba783e27","BiomedicalConceptProperty","BiomedicalConceptProperty_25","True","integer","VSORRES"
"VSORRESU","True","c579cc82-ac5a-4e3d-97f8-175697b58e5a","BiomedicalConceptProperty","BiomedicalConceptProperty_26","True","","VSORRESU"
"VSPOS","True","88a760ea-ebef-4ba1-9c5c-64f948136d98","BiomedicalConceptProperty","BiomedicalConceptProperty_27","True","","VSPOS"
"VSLOC","True","cafb394d-0260-47e8-99ae-8296b1a39b9b","BiomedicalConceptProperty","BiomedicalConceptProperty_28","True","","VSLOC"
"VSLAT","True","588421da-fd6b-4574-bd35-77c02d43ac95","BiomedicalConceptProperty","BiomedicalConceptProperty_29","True","","VSLAT"
"VSTESTCD","True","99d76c33-77fe-4555-a927-12e0236e51c4","BiomedicalConceptProperty","BiomedicalConceptProperty_30","True","","VSTESTCD"
"VSORRES","True","5f344452-5513-4153-b8b5-0fac6c50d9fd","BiomedicalConceptProperty","BiomedicalConceptProperty_31","True","integer","VSORRES"
"VSORRESU","True","6a9f540a-3775-4308-832e-1af48b34fec9","BiomedicalConceptProperty","BiomedicalConceptProperty_32","True","","VSORRESU"
"VSPOS","True","11e98afa-5d67-4de0-95f3-985a0ae35ad6","BiomedicalConceptProperty","BiomedicalConceptProperty_33","True","","VSPOS"
"VSLOC","True","872cae05-d9cd-4476-b47f-f17de7358ecd","BiomedicalConceptProperty","BiomedicalConceptProperty_34","True","","VSLOC"
"VSLAT","True","170df4ac-7a93-4ccd-a438-7bb3d9849be5","BiomedicalConceptProperty","BiomedicalConceptProperty_35","True","","VSLAT"
"VSTESTCD","True","7d6988c0-49cb-4cab-a92c-694ae82246df","BiomedicalConceptProperty","BiomedicalConceptProperty_36","True","","VSTESTCD"
"VSORRES","True","aa52621c-4ca7-4c33-a099-df9e9d07694b","BiomedicalConceptProperty","BiomedicalConceptProperty_37","True","float","VSORRES"
