"maxValue","minValue","id","isApproximate","uuid:ID"
"120.0","120.0","Range_2","False","4a0fe9b3-ab5d-467c-8e6e-25bfc9488bbf"
"100.0","100.0","Range_1","False","744c6373-9db0-441a-a42b-82e9230f87d1"
