"text","id","name","uuid:ID"
"ITT","AnalysisPopulation_1","AP_1","7c244ee4-1cce-40e8-a7b0-4efb28b82321"
"ITT","AnalysisPopulation_2","AP_4","15fe45e9-d2d6-48de-819a-fcc7fc1e6e72"
