"label","datatype","id","name","instanceType","isEnabled","isRequired","uuid:ID"
"DSDECOD","text","BiomedicalConceptProperty_116","DSDECOD","BiomedicalConceptProperty","True","True","4191d574-7077-4fdb-9ef2-251d49060cf1"
"DSTERM","text","BiomedicalConceptProperty_117","DSTERM","BiomedicalConceptProperty","True","True","7b800f9c-7a30-4a09-b9d7-774096434605"
"DSSTDTC","datetime","BiomedicalConceptProperty_118","DSSTDTC","BiomedicalConceptProperty","True","True","32ed2291-7228-44be-86a8-8d47a098e365"
"Sex","string","BiomedicalConceptProperty_119","Sex","BiomedicalConceptProperty","True","True","bf1f026f-0fdf-401b-9d81-bb44aec92699"
"Race","string","BiomedicalConceptProperty_120","Race","BiomedicalConceptProperty","True","True","4dc5cb62-69d0-4f53-bdaa-df6667676660"
"VSTESTCD","","BiomedicalConceptProperty_121","VSTESTCD","BiomedicalConceptProperty","True","True","036b4967-01ea-411d-a610-9aee1121e951"
"VSORRES","float","BiomedicalConceptProperty_122","VSORRES","BiomedicalConceptProperty","True","True","0d23163a-c98f-4292-ab6c-3a2fed3cb0cd"
"VSORRESU","","BiomedicalConceptProperty_123","VSORRESU","BiomedicalConceptProperty","True","True","265627df-040a-4288-aca6-1b86e88a8f07"
"VSLOC","","BiomedicalConceptProperty_124","VSLOC","BiomedicalConceptProperty","True","True","fdb64078-e551-4acb-a827-182a5e03dc5b"
"VSTESTCD","","BiomedicalConceptProperty_125","VSTESTCD","BiomedicalConceptProperty","True","True","49a7ebee-c020-4122-9958-bb3f4f66cdd4"
"VSORRES","float","BiomedicalConceptProperty_126","VSORRES","BiomedicalConceptProperty","True","True","aed18f73-1318-483a-95f7-45e754f42a7e"
"VSORRESU","","BiomedicalConceptProperty_127","VSORRESU","BiomedicalConceptProperty","True","True","4c65f924-768a-44d5-99f8-2636a440ec42"
"VSTESTCD","","BiomedicalConceptProperty_128","VSTESTCD","BiomedicalConceptProperty","True","True","1c3bee8c-6ca0-4b1a-b90e-785ed9eb7327"
"VSORRES","float","BiomedicalConceptProperty_129","VSORRES","BiomedicalConceptProperty","True","True","547905fa-dfb0-4bbd-9e97-f244ecd9259d"
"VSORRESU","","BiomedicalConceptProperty_130","VSORRESU","BiomedicalConceptProperty","True","True","23bd10bb-a8cd-422a-9506-fd8453089564"
"LBTESTCD","","BiomedicalConceptProperty_131","LBTESTCD","BiomedicalConceptProperty","True","True","1f6e2e0d-a437-4730-931e-8ec8d67604da"
"LBORRES","float","BiomedicalConceptProperty_132","LBORRES","BiomedicalConceptProperty","True","True","3fee0ef7-0d87-4678-a549-41de5da2f66d"
"LBORRESU","","BiomedicalConceptProperty_133","LBORRESU","BiomedicalConceptProperty","True","True","ad9ee54d-33ca-4916-b0b5-8e28eb425762"
"LBSPEC","","BiomedicalConceptProperty_134","LBSPEC","BiomedicalConceptProperty","True","True","70b7da49-987a-406e-862e-0fd16d0d3422"
"LBFAST","","BiomedicalConceptProperty_135","LBFAST","BiomedicalConceptProperty","True","True","41b518a3-ec8d-4cd6-ae66-b11cca9d666e"
"LBTESTCD","","BiomedicalConceptProperty_136","LBTESTCD","BiomedicalConceptProperty","True","True","877a5708-bd70-4942-9a90-923c5505a879"
"LBORRES","text","BiomedicalConceptProperty_137","LBORRES","BiomedicalConceptProperty","True","True","b8b013e7-49cf-4df5-ae55-e483794c4c80"
