"otherReason","instanceType","id","uuid:ID"
"","StudyAmendmentReason","StudyAmendmentReason_1","0e4e0c0e-efb0-49ec-8bf4-d4c38c3b2811"
"Fix typographical errors","StudyAmendmentReason","StudyAmendmentReason_2","8880ce99-2120-4379-a334-ab2f8f3ae236"
