"instanceType","id","uuid:ID"
"StudyCell","StudyCell_1","7ccaa3db-b591-4df0-8ce9-3981264723c9"
"StudyCell","StudyCell_2","e0b11473-765b-4b3c-8e3c-921eca961cc0"
"StudyCell","StudyCell_3","85a2593f-8b07-4ff1-b0a4-f2eeffcdb6df"
"StudyCell","StudyCell_4","63621cc5-b4f4-4aa3-931b-c6c573b54a7a"
"StudyCell","StudyCell_5","494680de-985a-4e19-8b67-5c46ca35c2b5"
"StudyCell","StudyCell_6","08f06ee0-5143-4696-bb6c-52e75d62a39d"
"StudyCell","StudyCell_7","0dd81893-b424-4063-97b4-be2e0c2411fe"
"StudyCell","StudyCell_8","5545ea08-e9dc-4144-b4bf-95d929b02c29"
"StudyCell","StudyCell_9","f92b6c37-0250-489c-8740-c1558de7b338"
"StudyCell","StudyCell_10","b29ff481-2697-4f0f-a1ad-b029f2c9659e"
"StudyCell","StudyCell_11","c17c596b-7f62-4406-9e87-1b08d450e084"
"StudyCell","StudyCell_12","500a86a3-4fbb-45ab-8203-232e81f8fcd8"
"StudyCell","StudyCell_13","1d95b5ec-b19d-4fe8-9a13-421e7fba7229"
"StudyCell","StudyCell_14","27bcd977-0cdc-4520-ade2-6b3231865e14"
"StudyCell","StudyCell_15","d916d2fc-2109-42d8-a5bf-6983345a997c"
