"label","uuid:ID","name","description","instanceType","dateValue","id"
"Design Approval","7b58d138-dc23-40b4-9e03-db18c89e6349","D_APPROVE","Design approval date","GovernanceDate","2006-06-01","GovernanceDate_1"
"Protocol Approval","eb78dc65-4d93-4137-b3d0-11d68861f8c2","P_APPROVE","Protocol document approval date","GovernanceDate","2006-07-01","GovernanceDate_2"
