"otherReason","uuid:ID","instanceType","id"
"","50b97e54-830a-4e63-a73e-9142aa117126","StudyAmendmentReason","StudyAmendmentReason_1"
"Fix typographical errors","7f46eaab-7628-49c7-bc36-609902c257ba","StudyAmendmentReason","StudyAmendmentReason_2"
