"label","uuid:ID","name","description","parameterMap","instanceType","id"
"IE Dictionary","7f86df81-519a-447f-978a-5e2faa94a102","IE_Dict","Dictionary for IE","{'min_age': '<usdm:ref klass=""Range"" id=""Range_3"" attribute=""maxValue""></usdm:ref>', 'max_age': '<usdm:ref klass=""Range"" id=""Range_3"" attribute=""minValue""></usdm:ref>', 'StudyPopulation': '<usdm:ref klass=""StudyDesignPopulation"" id=""StudyDesignPopulation_1"" attribute=""description""></usdm:ref>'}","SyntaxTemplateDictionary","SyntaxTemplateDictionary_1"
"Assessment Dictionary","eae8c5ed-972d-4c8e-80bd-4f7445cb5b4b","AS_Dict","Dictionary for Study Assessments","{'Activity1': '<usdm:ref klass=""Activity"" id=""Activity_6"" attribute=""label""></usdm:ref>'}","SyntaxTemplateDictionary","SyntaxTemplateDictionary_2"
