"instanceType","minValue","isApproximate","uuid:ID","maxValue","id"
"Range","300.0","False","9aa8042b-9db7-4ccd-a2d9-9d22dacb26ed","300.0","Range_2"
"Range","300.0","False","b5c238a9-45de-48fb-9bca-858cd08a8e49","300.0","Range_1"
"Range","50.0","False","f9e9b362-96bb-4cf9-87b1-9ee1a4f6946f","100.0","Range_3"
