"instanceType","label","description","uuid:ID","name","id"
"SyntaxTemplateDictionary","IE Dictionary","Dictionary for IE","b7092ef3-689a-4df1-9045-32d81d00630d","IE_Dict","SyntaxTemplateDictionary_1"
"SyntaxTemplateDictionary","Assessment Dictionary","Dictionary for Study Assessments","73f38604-f77e-4267-9a2f-447d65d1eda8","AS_Dict","SyntaxTemplateDictionary_2"
