"instanceType","label","isEnabled","uuid:ID","name","datatype","isRequired","id"
"BiomedicalConceptProperty","DSDECOD","True","236fcacb-4008-4548-b10a-85e709b2e99f","DSDECOD","text","True","BiomedicalConceptProperty_116"
"BiomedicalConceptProperty","DSTERM","True","e63d3cdd-c593-4b8f-a380-01078392fabf","DSTERM","text","True","BiomedicalConceptProperty_117"
"BiomedicalConceptProperty","DSSTDTC","True","1f3cc578-abe8-4809-bbe0-26fc41b5d148","DSSTDTC","datetime","True","BiomedicalConceptProperty_118"
"BiomedicalConceptProperty","Sex","True","640bb1cd-c54d-46cb-a279-23623ec2ce37","Sex","string","True","BiomedicalConceptProperty_119"
"BiomedicalConceptProperty","Race","True","38d34965-791c-4307-ace4-3b3c7f182fbb","Race","string","True","BiomedicalConceptProperty_120"
"BiomedicalConceptProperty","VSTESTCD","True","697c1e09-08cf-40fd-897c-ce3fb4510487","VSTESTCD","","True","BiomedicalConceptProperty_121"
"BiomedicalConceptProperty","VSORRES","True","d4d9532f-4022-43c2-adfa-f2f65f75476e","VSORRES","float","True","BiomedicalConceptProperty_122"
"BiomedicalConceptProperty","VSORRESU","True","96c1e051-eb62-4274-b4a4-17acdc6a25c1","VSORRESU","","True","BiomedicalConceptProperty_123"
"BiomedicalConceptProperty","VSLOC","True","2fbe2ce5-fdda-4eac-83d3-3ec7e0b48d9f","VSLOC","","True","BiomedicalConceptProperty_124"
"BiomedicalConceptProperty","VSTESTCD","True","1cf525c7-f6bb-4300-be09-48cae544f1cf","VSTESTCD","","True","BiomedicalConceptProperty_125"
"BiomedicalConceptProperty","VSORRES","True","b60f0fdc-37c7-42d1-adb5-6366bed45b11","VSORRES","float","True","BiomedicalConceptProperty_126"
"BiomedicalConceptProperty","VSORRESU","True","382f25a0-c09a-4993-ab21-c093c1ddb8b4","VSORRESU","","True","BiomedicalConceptProperty_127"
