"instanceType","otherReason","id","uuid:ID"
"StudyAmendmentReason","","StudyAmendmentReason_1","c4d88d8c-d973-4506-a4c7-728dae3695ec"
"StudyAmendmentReason","Fix typographical errors","StudyAmendmentReason_2","92d018ae-5edc-41e5-85af-bf58da3c4a08"
